CD_PIANO_GRUPPI,CD_GRUPPO_EP,CD_GRUPPO_PADRE,SEQUENZA,NOME,DS_GRUPPO_EP,SEGNO,FL_MASTRINO,CD_PIANO_PADRE,FORMULA,UTCR,UTUV,PG_VER_REC
"CE","ADEE","NULL",640,"NULL","Avanzo/Disavanzo economico d'esercizio (A - B + C + D)","+","N","NULL","[+]{CE,A1}[+]{CE,A2}[+]{CE,A3}[-]{CE,B4}[-]{CE,B5}[-]{CE,B6}[-]{CE,B7a}[-]{CE,B7b}[-]{CE,B7c}[-]{CE,B7d}[-]{CE,B8a}[-]{CE,B8b}[-]{CE,B8c}[-]{CE,B8d}[-]{CE,B8e}[-]{CE,B8f}[-]{CE,B9}[-]{CE,B10}[-]{CE,B11}[-]{CE,B12}[-]{CE,B13}[+]{CE,C15}[-]{CE,C14}[+]{CE,D16}[-]{CE,D17}[+]{CE,D18}[+]{CE,D19}[-]{CE,D20}[-]{CE,D21}","SYSTEM","SYSTEM","1"
"SPPAS","TG","NULL",405,"NULL","Totale Conti d'ordine (G)","+","N","NULL","[+]{SPPAS,G1}[+]{SPPAS,G2}","SYSTEM","SYSTEM","1"
"SPPAS","G","NULL",401,"G","CONTI D'ORDINE","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"SPATT","TF","NULL",605,"NULL","Totale Conti d'ordine (F)","+","N","NULL","[+]{SPATT,F1}[+]{SPATT,F2}","SYSTEM","SYSTEM","1"
"SPPAS","G1","G",402,"1","Fidejussioni ed assicurazioni","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","G2","G",403,"2","Altri conti d'ordine","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPATT","F1","F",602,"1","Fidejussioni ed assicurazioni","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","F2","F",603,"2","Altri conti d'ordine","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","F","NULL",601,"F","CONTI D'ORDINE","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"CE","A","NULL",10,"A)","PROVENTI DELLA GESTIONE","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"CE","A1","A",20,"1)","Entrate derivanti da trasferimenti","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","A2","A",30,"2)","Entrate derivanti dalla vendita di prodotti e servizi","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","A3","A",40,"3)","Entrate diverse","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","TPG","NULL",60,"NULL","Totale Proventi della Gestione (A)","+","N","NULL","[+]{CE,A1}[+]{CE,A2}[+]{CE,A3}","SYSTEM","SYSTEM","1"
"CE","B","NULL",70,"B)","COSTI DELLA GESTIONE","-","N","NULL","NULL","SYSTEM","SYSTEM","1"
"CE","B4","B",80,"4)","per materie prime, sussidiarie, di consumi e merci","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B5","B",90,"5)","per servizi","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B6","B",100,"6)","per godimento beni di terzi","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B7","B",110,"7)","per il personale:","-","N","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B7a","B7",120,"a)","Salari e Stipendi","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B7b","B7",130,"b)","Oneri Sociali","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B7c","B7",140,"c)","Quota dell'esercizio per l'adeguamento del fondo di trattamento di fine rapporto","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B7d","B7",150,"d)","Altri costi","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B8","B",170,"8)","Ammortamenti:","-","N","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B8a","B8",180,"a)","Ammortamento terreni e fabbricati","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B8b","B8",190,"b)","Ammortamento macchine e strumenti scientifici","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B8c","B8",200,"c)","Ammortamento mobili e arredi","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B8d","B8",210,"d)","Ammortamento automezzi","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B9","B",220,"9)","Oneri tributari","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B10","B",230,"10)","Variazioni delle rimanenze di materie prime, sussidiarie, di consumo e merci","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B11","B",240,"11)","Quota dell'esercizio per l'adeguamento del fondo rischi indennit? di anzianit? del personale INPS","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","B12","B",250,"12)","Quota dell'esercizio per rischio crediti inesigibili","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","TCG","NULL",260,"NULL","Totale Costi della Gestione (B)","+","N","NULL","[+]{CE,B4}[+]{CE,B5}[+]{CE,B6}[+]{CE,B7a}[+]{CE,B7b}[+]{CE,B7c}[+]{CE,B7d}[+]{CE,B8a}[+]{CE,B8b}[+]{CE,B8c}[+]{CE,B8d}[+]{CE,B8e}[+]{CE,B8f}[+]{CE,B9}[+]{CE,B10}[+]{CE,B11}[+]{CE,B12}[+]{CE,B13}","SYSTEM","SYSTEM","1"
"CE","A-B","NULL",270,"NULL","DIFFERENZA TRA PROVENTI E COSTI DELLA GESTIONE (A - B)","+","N","NULL","[+]{CE,A1}[+]{CE,A2}[+]{CE,A3}[-]{CE,B4}[-]{CE,B5}[-]{CE,B6}[-]{CE,B7a}[-]{CE,B7b}[-]{CE,B7c}[-]{CE,B7d}[-]{CE,B8a}[-]{CE,B8b}[-]{CE,B8c}[-]{CE,B8d}[-]{CE,B8e}[-]{CE,B8f}[-]{CE,B9}[-]{CE,B10}[-]{CE,B11}[-]{CE,B12}[-]{CE,B13}","SYSTEM","SYSTEM","1"
"CE","C","NULL",280,"C)","PROVENTI E ONERI FINANZIARI","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"CE","C14","C",290,"14)","Interessi ed altri oneri finanziari","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","C15","C",300,"15)","Altri proventi finanziari","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","TPOF","NULL",360,"NULL","Totale proventi ed oneri finanziari (C)","+","N","NULL","[+]{CE,C15}[-]{CE,C14}","SYSTEM","SYSTEM","1"
"CE","D","NULL",370,"D)","PROVENTI E ONERI STRAORDINARI","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"CE","D16","D",380,"16)","Proventi straordinari","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","D17","D",420,"17)","Oneri straordinari con separata indicazione delle imposte relative ad esercizi precedenti","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","D18","D",460,"18)","Sopravvenienze attive ed insussistenze di passivo","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","D19","D",470,"19)","Plusvalenze da alienazioni","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","D20","D",480,"20)","Sopravvenienze passive ed insussistenze di attivo","+","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","D21","D",530,"21)","Minusvalenze da alienazioni","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"CE","TPOS","NULL",630,"NULL","Totale delle partite straordinarie (D)","+","N","NULL","[+]{CE,D16}[-]{CE,D17}[+]{CE,D18}[+]{CE,D19}[-]{CE,D20}[-]{CE,D21}","SYSTEM","SYSTEM","1"
"SPATT","AI3","AI",65,"3","Opere dell'ingegno","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","A","NULL",20,"A","IMMOBILIZZAZIONI","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"CE","B8f","B8",215,"f)","Ammortamento Opere dell'ingegno (Software)","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"SPATT","AI1","AI",60,"1","Brevetti","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AIII2c","AIII2",275,"c","Prestiti ai dipendenti","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","TAI","NULL",110,"NULL","Totale A I)","+","N","NULL","[+]{SPATT,AI1}[+]{SPATT,AI2}[+]{SPATT,AI3}","SYSTEM","SYSTEM","1"
"SPPAS","D","NULL",180,"D","DEBITI","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII","A",120,"II","Materiali","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII1","AII",130,"1","Terreni e fabbricati","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII2","AII",140,"2","Mobili e arredi","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII3","AII",150,"3","Macchine e strumenti scientifici","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII4","AII",160,"4","Libri","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII5","AII",170,"5","Automezzi","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","TAII","NULL",180,"NULL","Totale A II)","+","N","NULL","[+]{SPATT,AII1}[+]{SPATT,AII2}[+]{SPATT,AII3}[+]{SPATT,AII4}[+]{SPATT,AII5}[+]{SPATT,AII6}[+]{SPATT,AII7}","SYSTEM","SYSTEM","1"
"SPATT","AIII","A",190,"III","Finanziarie","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AIII1","AIII",200,"1","Partecipazioni in:","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AIII1a","AIII1",210,"a","Consorzi e societ?","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AIII2","AIII",250,"2","Crediti (a lungo termine)","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AIII2a","AIII2",260,"a","Depositi cauzionali","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AIII2b","AIII2",270,"b","Buoni Postali Fruttiferi","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","B","NULL",310,"B","ATTIVO CIRCOLANTE","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"SPATT","BI","B",320,"I","Rimanenze","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","BI1","BI",330,"1","Materie prime, sussidiarie e di consumo","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","TBI","NULL",340,"NULL","Totale B I)","+","N","NULL","[+]{SPATT,BI1}","SYSTEM","SYSTEM","1"
"SPATT","BII","B",350,"II","Residui attivi","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","BII1","BII",360,"1","Crediti (residui attivi):","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","TBII","NULL",410,"NULL","Totale B II)","+","N","NULL","[+]{SPATT,BII1}","SYSTEM","SYSTEM","1"
"SPATT","BIII","B",420,"III","Disponibilit? Liquide","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","BIII1","BIII",430,"1","Cassa","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","BIII2","BIII",440,"2","Fondi Economali","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","TBIII","NULL",480,"NULL","Totale B III)","+","N","NULL","[+]{SPATT,BIII1}[+]{SPATT,BIII2}","SYSTEM","SYSTEM","1"
"SPATT","C","NULL",540,"C","RATEI E RISCONTI","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"SPATT","C1","C",550,"1","Ratei attivi","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","C2","C",560,"2","Risconti attivi","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPPAS","A","NULL",10,"A","PATRIMONIO NETTO","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"SPPAS","AI","A",20,"I","Patrimonio iniziale","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","AIII","A",30,"III","Avanzo economico d'esercizio","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","TA","NULL",110,"NULL","Totale Patrimonio Netto (A)","+","N","NULL","[+]{SPPAS,AI}[+]{SPPAS,AII}[+]{SPPAS,AIII}[-]{SPPAS,AIV}[-]{SPPAS,AV}","SYSTEM","SYSTEM","1"
"SPPAS","B","NULL",120,"B","FONDI PER RISCHI ED ONERI","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"SPPAS","B1","B",130,"1","per indennit? anzianit? personale INPS","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","B3","B",150,"3","per imposte","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","TB","NULL",160,"NULL","Totale Fondi per Rischi ed oneri (B)","+","N","NULL","[+]{SPPAS,B1}[+]{SPPAS,B2}","SYSTEM","SYSTEM","1"
"SPPAS","C","NULL",170,"C","TRATTAMENTO DI FINE RAPPORTO  DI LAVORO SUBORDINATO","+","Y","NULL","NULL","SYSTEM","SYSTEM","1"
"SPPAS","D1","D",190,"1","Mutui in ammortamento","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","D2","D",200,"2","Debiti di funzionamento","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","D3","D",210,"3","Debiti per depositi ricevuti in cauzione","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","TD","NULL",360,"NULL","Totale Debiti (D)","+","N","NULL","[+]{SPPAS,D1}[+]{SPPAS,D2}[+]{SPPAS,D3}","SYSTEM","SYSTEM","1"
"SPPAS","E","NULL",370,"E","RATEI E RISCONTI","+","N","NULL","NULL","SYSTEM","SYSTEM","1"
"SPPAS","E1","E",380,"1","Ratei passivi","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","E2","E",390,"2","Risconti passivi","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","TP","NULL",400,"NULL","Totale passivo e netto","+","N","NULL","[+]{SPPAS,AI}[+]{SPPAS,AII}[+]{SPPAS,AIII}[-]{SPPAS,AIV}[-]{SPPAS,AV}[+]{SPPAS,B1}[+]{SPPAS,B2}[+]{SPPAS,C}[+]{SPPAS,D1}[+]{SPPAS,D2}[+]{SPPAS,D3}[+]{SPPAS,E1}[+]{SPPAS,E2}","SYSTEM","SYSTEM","1"
"SPATT","TAIII","NULL",290,"NULL","Totale A III)","+","N","NULL","[+]{SPATT,AIII1a}[+]{SPATT,AIII2a}[+]{SPATT,AIII2b}[+]{SPATT,AIII2c}","SYSTEM","SYSTEM","1"
"SPATT","TB","NULL",530,"NULL","Totale attivo circolante (B)","+","N","NULL","[+]{SPATT,BI1}[+]{SPATT,BII1}[+]{SPATT,BIII1}[+]{SPATT,BIII2}","SYSTEM","SYSTEM","1"
"SPPAS","TE","NULL",395,"NULL","Totale Ratei e Risconti (E)","+","N","NULL","[+]{SPPAS,E1}[+]{SPPAS,E2}","SYSTEM","SYSTEM","1"
"SPATT","TA","NULL",300,"NULL","Totale Immobilizzazioni (A)","+","N","NULL","[+]{SPATT,AI1}[+]{SPATT,AI2}[+]{SPATT,AI3}[+]{SPATT,AII1}[+]{SPATT,AII2}[+]{SPATT,AII3}[+]{SPATT,AII4}[+]{SPATT,AII5}[+]{SPATT,AII6}[+]{SPATT,AII7}[+]{SPATT,AIII1a}[+]{SPATT,AIII2a}[+]{SPATT,AIII2b}[+]{SPATT,AIII2c}","SYSTEM","SYSTEM","1"
"SPATT","TA","NULL",600,"NULL","Totale attivo","+","N","NULL","[+]{SPATT,AI1}[+]{SPATT,AI2}[+]{SPATT,AI3}[+]{SPATT,AII1}[+]{SPATT,AII2}[+]{SPATT,AII3}[+]{SPATT,AII4}[+]{SPATT,AII5}[+]{SPATT,AII6}[+]{SPATT,AII7}[+]{SPATT,AIII1a}[+]{SPATT,AIII2a}[+]{SPATT,AIII2b}[+]{SPATT,AIII2c}[+]{SPATT,BI1}[+]{SPATT,BII1}[+]{SPATT,BIII1}[+]{SPATT,BIII2}[+]{SPATT,C1}[+]{SPATT,C2}","SYSTEM","SYSTEM","1"
"SPAS","TC","NULL",175,"NULL","Totale TFR di lavoro subordinato","+","N","NULL","[+]{SPPAS,C}","SYSTEM","SYSTEM","1"
"CE","B8e","B8",215,"e)","Ammortamento imbarcazioni e velivoli","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
