ID_CPA,CD_CPA,DS_CPA,LIVELLO,TI_BENE_SERVIZIO,FL_UTILIZZABILE,UTCR,UTUV,PG_VER_REC
80340,"030022","Pesci freschi o refrigerati, d'?facqua dolce, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80341,"030023","Pesci freschi o refrigerati, di mare, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80342,"030024","Pesci freschi o refrigerati, d'?facqua dolce, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80343,"030031","Crostacei, non congelati, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80344,"030032","Crostacei, non congelati, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80345,"030041","Ostriche, vive, fresche o refrigerate, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80346,"030042","Altri molluschi ed invertebrati acquatici, vivi, freschi o refrigerati, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80347,"030043","Ostriche, vive, fresche o refrigerate, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80348,"030044","Altri molluschi ed invertebrati acquatici, vivi, freschi o refrigerati, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80349,"030051","Perle naturali non lavorate",6,"B","N","SYSTEM","SYSTEM","1"
80350,"030052","Perle coltivate, non lavorate",6,"B","N","SYSTEM","SYSTEM","1"
80351,"030061","Corallo e simili, conchiglie di molluschi, crostacei o echinodermi e ossi di seppia",6,"B","N","SYSTEM","SYSTEM","1"
80352,"030062","Spugne naturali di origine animale",6,"B","N","SYSTEM","SYSTEM","1"
80353,"030063","Alghe, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80354,"030064","Alghe, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80355,"030069","Altre piante e animali acquatici e prodotti derivati n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80356,"030071","Servizi di supporto per la pesca",6,"S","N","SYSTEM","SYSTEM","1"
80357,"030072","Servizi di supporto per l'?facquacoltura",6,"S","N","SYSTEM","SYSTEM","1"
80358,"051010","Antracite",6,"B","N","SYSTEM","SYSTEM","1"
80359,"052010","Ligniti",6,"B","N","SYSTEM","SYSTEM","1"
80360,"061010","Oli greggi di petrolio o di minerali bituminosi",6,"B","N","SYSTEM","SYSTEM","1"
80361,"061020","Scisti e sabbie bituminosi",6,"B","N","SYSTEM","SYSTEM","1"
80362,"062010","Gas naturale, liquefatto o allo stato gassoso",6,"B","N","SYSTEM","SYSTEM","1"
80363,"071010","Minerali di ferro",6,"B","N","SYSTEM","SYSTEM","1"
80364,"072110","Minerali di uranio e di torio",6,"B","N","SYSTEM","SYSTEM","1"
80365,"072911","Minerali di rame e loro concentrati",6,"B","N","SYSTEM","SYSTEM","1"
80366,"072912","Minerali di nichel e loro concentrati",6,"B","N","SYSTEM","SYSTEM","1"
80367,"072913","Minerali di alluminio e loro concentrati",6,"B","N","SYSTEM","SYSTEM","1"
80368,"072914","Minerali di metalli preziosi e loro concentrati",6,"B","N","SYSTEM","SYSTEM","1"
80369,"072915","Minerali di piombo, zinco e stagno e loro concentrati",6,"B","N","SYSTEM","SYSTEM","1"
80370,"072919","Altri minerali di metalli non ferrosi e loro concentrati",6,"B","N","SYSTEM","SYSTEM","1"
80371,"081111","Marmo ed altre pietre calcaree ornamentali o da costruzione",6,"B","N","SYSTEM","SYSTEM","1"
80372,"081112","Granito, arenaria ed altre pietre ornamentali o da costruzione",6,"B","N","SYSTEM","SYSTEM","1"
80373,"081120","Calcare e pietra da gesso",6,"B","N","SYSTEM","SYSTEM","1"
80374,"081130","Creta e dolomite non calcinata",6,"B","N","SYSTEM","SYSTEM","1"
80375,"081140","Ardesia",6,"B","N","SYSTEM","SYSTEM","1"
80376,"081211","Sabbie naturali",6,"B","N","SYSTEM","SYSTEM","1"
80377,"081212","Granuli, scaglie e polveri; sassi, ghiaia",6,"B","N","SYSTEM","SYSTEM","1"
80378,"081213","Scorie miste e scarti industriali simili, anche mescolati con sassi, ghiaia, selci e ciottoli, dei tipi generalmente utilizzati per la costruzione",6,"B","N","SYSTEM","SYSTEM","1"
80379,"081221","Caolino ed altre argille caoliniche",6,"B","N","SYSTEM","SYSTEM","1"
80380,"081222","Altre argille, andalusite, cianite, sillimanite; mullite; terre di chamotte o di dinas",6,"B","N","SYSTEM","SYSTEM","1"
80381,"089111","Fosfati di calcio naturali o fosfati allumino-calcici naturali",6,"B","N","SYSTEM","SYSTEM","1"
80382,"089112","Piriti di ferro non arrostite; zolfi greggi o non raffinati",6,"B","N","SYSTEM","SYSTEM","1"
80383,"089119","Altri minerali e fertilizzanti per l'?industria chimica",6,"B","N","SYSTEM","SYSTEM","1"
80384,"089210","Torba",6,"B","N","SYSTEM","SYSTEM","1"
80385,"089310","Sale e cloruro di sodio puro; acqua di mare",6,"B","N","SYSTEM","SYSTEM","1"
80386,"089910","Bitumi ed asfalti naturali; asfaltiti e rocce asfaltiche",6,"B","N","SYSTEM","SYSTEM","1"
80387,"089921","Pietre preziose e semipreziose (escl. diamanti industriali), grezzi o semplicemente segati o sgrossati",6,"B","N","SYSTEM","SYSTEM","1"
80388,"089922","Diamanti industriali, grezzi o semplicemente segati, sfaldati o sgrossati; pietra pomice; smeriglio; corindone naturale, granato naturale ed altri abrasivi naturali",6,"B","N","SYSTEM","SYSTEM","1"
80389,"089929","Altri minerali",6,"B","N","SYSTEM","SYSTEM","1"
80390,"091011","Servizi di perforazione connessi all'?estrazione di petrolio e di gas naturale",6,"S","N","SYSTEM","SYSTEM","1"
80391,"091012","Servizi di costruzione, riparazione e smantellamento di torri di trivellazione e connessi servizi di supporto per l'?estrazione di petrolio e di gas naturale",6,"S","N","SYSTEM","SYSTEM","1"
80392,"091013","Servizi di liquefazione e rigassificazione del gas naturale per il trasporto, effettuati sul posto dell'?estrazione",6,"S","N","SYSTEM","SYSTEM","1"
80393,"099011","Servizi di supporto per l'?estrazione di carbon fossile",6,"S","N","SYSTEM","SYSTEM","1"
80394,"099019","Servizi di supporto per l'?estrazione di altri minerali e prodotti di cava, n.c.a.",6,"S","N","SYSTEM","SYSTEM","1"
80395,"101111","Carni bovine, fresche o refrigerate",6,"B","N","SYSTEM","SYSTEM","1"
80396,"101112","Carni suine, fresche o refrigerate",6,"B","N","SYSTEM","SYSTEM","1"
80397,"101113","Carni ovine, fresche o refrigerate",6,"B","N","SYSTEM","SYSTEM","1"
80398,"101114","Carni caprine, fresche o refrigerate",6,"B","N","SYSTEM","SYSTEM","1"
80399,"101115","Carni di cavallo e di altri animali della specie equina, fresche o refrigerate",6,"B","N","SYSTEM","SYSTEM","1"
80400,"101120","Frattaglie commestibili di animali delle specie bovina, suina, ovina, caprina, equina, fresche o refrigerate",6,"B","N","SYSTEM","SYSTEM","1"
80401,"101131","Carni bovine, congelate",6,"B","N","SYSTEM","SYSTEM","1"
80402,"101132","Carni suine, congelate",6,"B","N","SYSTEM","SYSTEM","1"
80403,"101133","Carni ovine, congelate",6,"B","N","SYSTEM","SYSTEM","1"
80404,"101134","Carni caprine congelate",6,"B","N","SYSTEM","SYSTEM","1"
80405,"101135","Carni di cavallo e di altri animali della specie equina, congelate",6,"B","N","SYSTEM","SYSTEM","1"
80406,"101139","Altre carni e frattaglie commestibili, fresche, refrigerate e congelate",6,"B","N","SYSTEM","SYSTEM","1"
80407,"101141","Lane di concia, sucide, comprese le lane lavate a dosso",6,"B","N","SYSTEM","SYSTEM","1"
80408,"101142","Cuoi e pelli greggi interi di bovini o di equini",6,"B","N","SYSTEM","SYSTEM","1"
80409,"101143","Altri cuoi e pelli greggi di bovini o di equini",6,"B","N","SYSTEM","SYSTEM","1"
80410,"101144","Cuoi e pelli greggi di ovini",6,"B","N","SYSTEM","SYSTEM","1"
80411,"101145","Cuoi e pelli greggi di caprini",6,"B","N","SYSTEM","SYSTEM","1"
80412,"101150","Grassi di animali della specie bovina, ovina, caprina o suina",6,"B","N","SYSTEM","SYSTEM","1"
80413,"101160","Frattaglie crude, non commestibili",6,"B","N","SYSTEM","SYSTEM","1"
80414,"101199","Attivita in subfornitura nell'?ambito della produzione di carni trasformate e conservate",6,"S","N","SYSTEM","SYSTEM","1"
80415,"101210","Carni di pollame, fresche o refrigerate",6,"B","N","SYSTEM","SYSTEM","1"
80416,"101220","Carni di pollame, congelate",6,"B","N","SYSTEM","SYSTEM","1"
80417,"101230","Grassi di volatili da cortile",6,"B","N","SYSTEM","SYSTEM","1"
80418,"101240","Frattaglie commestibili di volatili da cortile",6,"B","N","SYSTEM","SYSTEM","1"
80419,"101250","Piume e pelli di uccelli rivestite delle loro piume",6,"B","N","SYSTEM","SYSTEM","1"
80420,"101299","Attivita in subfornitura nell'?ambito della produzione di carni di pollame trasformate e conservate",6,"S","N","SYSTEM","SYSTEM","1"
80421,"101311","Carni suine, in pezzi, salate, secche o affumicate (bacon e prosciutto)",6,"B","N","SYSTEM","SYSTEM","1"
80422,"101312","Carni bovine, salate, secche o affumicate",6,"B","N","SYSTEM","SYSTEM","1"
80423,"101313","Altre carni e frattaglie commestibili, salate, in salamoia, essiccate o affumicate (escl. carni di suini e bovini); farine e polveri, commestibili, di carni o di frattaglie",6,"B","N","SYSTEM","SYSTEM","1"
80424,"101314","Salsicce, salami e prodotti simili, di carne, di frattaglie o di sangue",6,"B","N","SYSTEM","SYSTEM","1"
80425,"101315","Altre preparazioni e conserve di carne, di frattaglie o di sangue, esclusi piatti pronti di carne e frattaglie",6,"B","N","SYSTEM","SYSTEM","1"
80426,"101316","Farine, polveri e agglomerati in forma di pellet di carni, non destinati al consumo umano; ciccioli",6,"B","N","SYSTEM","SYSTEM","1"
80427,"101391","Cottura ed altri servizi connessi alla preparazione di prodotti a base di carne",6,"S","N","SYSTEM","SYSTEM","1"
80428,"101399","Attivita in subfornitura nell'?ambito della produzione di prodotti a base di carne (anche di volatili)",6,"S","N","SYSTEM","SYSTEM","1"
80429,"102011","Filetti di pesce ed altra carne di pesce (anche tritata), freschi o refrigerati",6,"B","N","SYSTEM","SYSTEM","1"
80430,"102012","Fegati, uova e lattimi di pesci, freschi o refrigerati",6,"B","N","SYSTEM","SYSTEM","1"
80431,"102013","Pesce congelato",6,"B","N","SYSTEM","SYSTEM","1"
80432,"102014","Filetti di pesce congelati",6,"B","N","SYSTEM","SYSTEM","1"
80433,"102015","Carne di pesce (anche tritata), congelata",6,"B","N","SYSTEM","SYSTEM","1"
80434,"102016","Fegati, uova e lattimi di pesci, congelati",6,"B","N","SYSTEM","SYSTEM","1"
80435,"102021","Filetti di pesci, secchi, salati o in salamoia, ma non affumicati",6,"B","N","SYSTEM","SYSTEM","1"
80436,"102022","Fegati, uova e lattimi di pesci, secchi, affumicati, salati o in salamoia; farine, polveri e agglomerati in forma di pellet di pesci, atti all'?falimentazione umana",6,"B","N","SYSTEM","SYSTEM","1"
80437,"102023","Pesce secco (anche salato o in salamoia)",6,"B","N","SYSTEM","SYSTEM","1"
80438,"102024","Pesce, anche in filetti, affumicato",6,"B","N","SYSTEM","SYSTEM","1"
80439,"102025","Altre preparazioni o conserve di pesce, esclusi i piatti pronti",6,"B","N","SYSTEM","SYSTEM","1"
80440,"102026","Caviale e suoi succedanei",6,"B","N","SYSTEM","SYSTEM","1"
80441,"102031","Crostacei congelati",6,"B","N","SYSTEM","SYSTEM","1"
80442,"102032","Molluschi, congelati, secchi, salati o in salamoia, affumicati",6,"B","N","SYSTEM","SYSTEM","1"
80443,"102033","Altri invertebrati acquatici, congelati, secchi, salati o in salamoia, affumicati",6,"B","N","SYSTEM","SYSTEM","1"
80444,"102034","Altre preparazioni o conserve di crostacei; altre preparazioni o conserve di molluschi e di altri invertebrati acquatici",6,"B","N","SYSTEM","SYSTEM","1"
80445,"102041","Farine, polveri e agglomerati in forma di pellet, di pesci, crostacei, molluschi o altri invertebrati acquatici inadatti all'?falimentazione umana",6,"B","N","SYSTEM","SYSTEM","1"
80446,"102042","Altri prodotti non commestibili di pesci o di crostacei, di molluschi o di altri invertebrati acquatici",6,"B","N","SYSTEM","SYSTEM","1"
80447,"102091","Affumicatura ed altri servizi di conservazione e preparazione per la fabbricazione di prodotti a base di pesce",6,"S","N","SYSTEM","SYSTEM","1"
80218,"011910","Piante da foraggio",6,"B","N","SYSTEM","SYSTEM","1"
80219,"011921","Fiori e boccioli di fiori recisi",6,"B","N","SYSTEM","SYSTEM","1"
80220,"011922","Semi di piante da fiore",6,"B","N","SYSTEM","SYSTEM","1"
80221,"011931","Semi di barbabietole (escl. semi di barbabietole da zucchero) e semi di piante foraggiere",6,"B","N","SYSTEM","SYSTEM","1"
80222,"011939","Materie prime vegetali n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80223,"012111","Uve da tavola",6,"B","N","SYSTEM","SYSTEM","1"
80224,"012112","Altre uve fresche",6,"B","N","SYSTEM","SYSTEM","1"
80225,"012211","Avocadi",6,"B","N","SYSTEM","SYSTEM","1"
80226,"012212","Banane, banane da cuocere e simili",6,"B","N","SYSTEM","SYSTEM","1"
80227,"012213","Datteri",6,"B","N","SYSTEM","SYSTEM","1"
80228,"012214","Fichi",6,"B","N","SYSTEM","SYSTEM","1"
80229,"012219","Altri frutti tropicali e subtropicali",6,"B","N","SYSTEM","SYSTEM","1"
80230,"012311","Pomeli e pompelmi",6,"B","N","SYSTEM","SYSTEM","1"
80231,"012312","Limoni e limette",6,"B","N","SYSTEM","SYSTEM","1"
80232,"012313","Arance",6,"B","N","SYSTEM","SYSTEM","1"
80233,"012314","Tangerini, mandarini, clementine",6,"B","N","SYSTEM","SYSTEM","1"
80234,"012319","Altri agrumi",6,"B","N","SYSTEM","SYSTEM","1"
80235,"012410","Mele",6,"B","N","SYSTEM","SYSTEM","1"
80236,"012421","Pere",6,"B","N","SYSTEM","SYSTEM","1"
80237,"012422","Cotogne",6,"B","N","SYSTEM","SYSTEM","1"
80238,"012423","Albicocche",6,"B","N","SYSTEM","SYSTEM","1"
80239,"012424","Ciliegie",6,"B","N","SYSTEM","SYSTEM","1"
80240,"012425","Pesche",6,"B","N","SYSTEM","SYSTEM","1"
80241,"012426","Pesche noci",6,"B","N","SYSTEM","SYSTEM","1"
80242,"012427","Prugne e susine",6,"B","N","SYSTEM","SYSTEM","1"
80243,"012428","Prugnole",6,"B","N","SYSTEM","SYSTEM","1"
80244,"012429","Altre pomacee e frutta a nocciolo n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80245,"012511","Kiwi",6,"B","N","SYSTEM","SYSTEM","1"
80246,"012512","Lamponi",6,"B","N","SYSTEM","SYSTEM","1"
80247,"012513","Fragole",6,"B","N","SYSTEM","SYSTEM","1"
80248,"012519","Altre bacche e frutti del genere vaccinium n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80249,"012520","Semi di piante da frutto",6,"B","N","SYSTEM","SYSTEM","1"
80250,"012531","Mandorle in guscio",6,"B","N","SYSTEM","SYSTEM","1"
80251,"012532","Castagne e marroni",6,"B","N","SYSTEM","SYSTEM","1"
80252,"012533","Nocciole in guscio",6,"B","N","SYSTEM","SYSTEM","1"
80253,"012534","Pistacchi",6,"B","N","SYSTEM","SYSTEM","1"
80254,"012535","Noci comuni",6,"B","N","SYSTEM","SYSTEM","1"
80255,"012539","Altra frutta a guscio (escl. frutta a guscio commestibile selvatica, arachidi e noci di cocco)",6,"B","N","SYSTEM","SYSTEM","1"
80256,"012590","Altri frutti di alberi e cespugli n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80257,"012611","Olive da tavola",6,"B","N","SYSTEM","SYSTEM","1"
80258,"012612","Olive destinate alla produzione di olio",6,"B","N","SYSTEM","SYSTEM","1"
80259,"012620","Noci di cocco",6,"B","N","SYSTEM","SYSTEM","1"
80260,"012690","Altri frutti oleosi",6,"B","N","SYSTEM","SYSTEM","1"
80261,"012711","Caffe in grani, non torrefatto",6,"B","N","SYSTEM","SYSTEM","1"
80262,"012712","Foglie di te",6,"B","N","SYSTEM","SYSTEM","1"
80263,"012713","Foglie di mate",6,"B","N","SYSTEM","SYSTEM","1"
80264,"012714","Cacao in grani",6,"B","N","SYSTEM","SYSTEM","1"
80265,"012811","Pepe (piper spp.), non lavorato",6,"B","N","SYSTEM","SYSTEM","1"
80266,"012812","Peperoncino e peperoni, essiccati (capsicum spp.), non lavorati",6,"B","N","SYSTEM","SYSTEM","1"
80267,"012813","Noci moscate, macis e cardamomi, non lavorati",6,"B","N","SYSTEM","SYSTEM","1"
80268,"012814","Anice, badiana, coriandolo, cumino, carvi, finocchio e bacche di ginepro, non lavorati",6,"B","N","SYSTEM","SYSTEM","1"
80269,"012815","Cannella, non lavorata",6,"B","N","SYSTEM","SYSTEM","1"
80270,"012816","Chiodi di garofano (interi), non lavorati",6,"B","N","SYSTEM","SYSTEM","1"
80271,"012817","Ginepro, essiccato, non lavorato",6,"B","N","SYSTEM","SYSTEM","1"
80272,"012818","Vaniglia, non lavorata",6,"B","N","SYSTEM","SYSTEM","1"
80273,"012819","Altre spezie, non preparate",6,"B","N","SYSTEM","SYSTEM","1"
80274,"012820","Luppolo",6,"B","N","SYSTEM","SYSTEM","1"
80275,"012830","Piante utilizzate principalmente in profumeria, in medicina o nella preparazione di insetticidi, fungicidi o simili",6,"B","N","SYSTEM","SYSTEM","1"
80276,"012910","Gomma naturale",6,"B","N","SYSTEM","SYSTEM","1"
80277,"012920","Alberi di Natale, tagliati",6,"B","N","SYSTEM","SYSTEM","1"
80278,"012930","Materie vegetali delle specie usate principalmente per lavori di intreccio, da panieraio o stuoiaio, per imbottire, per tingere o per conciare",6,"B","N","SYSTEM","SYSTEM","1"
80279,"013010","Materiali di moltiplicazione: piante vive; bulbi, tuberi e radici; talee e marze; bianco di funghi (micelio)",6,"B","N","SYSTEM","SYSTEM","1"
80280,"014110","Bovini vivi da latte",6,"B","N","SYSTEM","SYSTEM","1"
80281,"014120","Latte vaccino crudo di bestiame da latte",6,"B","N","SYSTEM","SYSTEM","1"
80282,"014211","Altri bovini e bufalini, escl. vitelli, vivi",6,"B","N","SYSTEM","SYSTEM","1"
80283,"014212","Vitelli vivi di bovini e di bufalini",6,"B","N","SYSTEM","SYSTEM","1"
80284,"014220","Sperma di bovini e di bufalini",6,"B","N","SYSTEM","SYSTEM","1"
80285,"014310","Cavalli ed altri equini vivi",6,"B","N","SYSTEM","SYSTEM","1"
80286,"014410","Cammelli e camelidi vivi",6,"B","N","SYSTEM","SYSTEM","1"
80287,"014511","Animali vivi della specie ovina",6,"B","N","SYSTEM","SYSTEM","1"
80288,"014512","Animali vivi della specie caprina",6,"B","N","SYSTEM","SYSTEM","1"
80289,"014521","Latte crudo di pecora",6,"B","N","SYSTEM","SYSTEM","1"
80290,"014522","Latte crudo di capra",6,"B","N","SYSTEM","SYSTEM","1"
80291,"014530","Lane di tosatura di pecora e capra, sucide, comprese le lane lavate a dosso",6,"B","N","SYSTEM","SYSTEM","1"
80292,"014610","Animali vivi della specie suina",6,"B","N","SYSTEM","SYSTEM","1"
80293,"014711","Polli vivi",6,"B","N","SYSTEM","SYSTEM","1"
80294,"014712","Tacchini vivi",6,"B","N","SYSTEM","SYSTEM","1"
80295,"014713","Oche vive",6,"B","N","SYSTEM","SYSTEM","1"
80296,"014714","Anatre e faraone vive",6,"B","N","SYSTEM","SYSTEM","1"
80297,"014721","Uova di gallina in guscio, fresche",6,"B","N","SYSTEM","SYSTEM","1"
80298,"014722","Uova di altro pollame in guscio, fresche",6,"B","N","SYSTEM","SYSTEM","1"
80299,"014723","Uova da cova",6,"B","N","SYSTEM","SYSTEM","1"
80300,"014911","Conigli domestici vivi",6,"B","N","SYSTEM","SYSTEM","1"
80301,"014912","Volatili d'?allevamento n.c.a., vivi",6,"B","N","SYSTEM","SYSTEM","1"
80302,"014913","Rettili d'?allevamento (compresi i serpenti e le tartarughe marine), vivi",6,"B","N","SYSTEM","SYSTEM","1"
80303,"014919","Altri animali d'?allevamento n.c.a., vivi",6,"B","N","SYSTEM","SYSTEM","1"
80304,"014921","Miele naturale",6,"B","N","SYSTEM","SYSTEM","1"
80305,"014922","Latte crudo n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80306,"014923","Lumache, diverse da quelle di mare, fresche, refrigerate, congelate, secche, salate o in salamoia",6,"B","N","SYSTEM","SYSTEM","1"
80307,"014924","Prodotti commestibili di origine animale n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80308,"014925","Bozzoli di bachi da seta atti alla trattura",6,"B","N","SYSTEM","SYSTEM","1"
80309,"014926","Cere di insetti e spermaceti, anche raffinati o colorati",6,"B","N","SYSTEM","SYSTEM","1"
80310,"014927","Embrioni animali destinati alla riproduzione",6,"B","N","SYSTEM","SYSTEM","1"
80311,"014928","Prodotti non commestibili di origine animale n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80312,"014931","Pelli da pellicceria gregge, escluse quelle di agnello astrakan",6,"B","N","SYSTEM","SYSTEM","1"
80313,"014932","Pelli da pellicceria gregge, escluse quelle di agnello astrakan",6,"B","N","SYSTEM","SYSTEM","1"
80314,"014939","Pelli gregge di animali n.c.a. (fresche o conservate, ma non altrimenti lavorate)",6,"B","N","SYSTEM","SYSTEM","1"
80315,"016110","Servizi di supporto alla produzione vegetale",6,"S","N","SYSTEM","SYSTEM","1"
80316,"016210","Servizi di supporto alla produzione animale",6,"S","N","SYSTEM","SYSTEM","1"
80317,"016310","Servizi successivi alla raccolta",6,"S","N","SYSTEM","SYSTEM","1"
