REPORT_NAME,PRIORITY,DS_REPORT,UTCR,UTUV,PG_VER_REC
"/progettiric/progettiric/anagrafica_progetti.jasper",1,"stampa anagrafica progetti","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_competenza_x_voce.jasper",3,"Stampa entrate/spese in c/competenza per voce","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cnr_spesa.jasper",2,"Stampa del preventivo finanziario parte Spese","SYSTEM","SYSTEM","1"
"/preventivo/pdg/discrepanze_insieme.jasper",1,"Discrepanze Importi Entrate-Spese","SYSTEM","SYSTEM","1"
"/configurazione/latt/linea_attivita.jasper",1,"Stampa delle linee di attivit?","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_etr.jasper",2,"Stampa PDG aggregato parte Entrate","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_spe.jasper",2,"Stampa PDG aggregato parte spese","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/libro_giornale.rpt",4,"Stampa Libro Giornale","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/reg_inv_ce_sp.jasper",2,"Registro inventario ufficiale","SYSTEM","SYSTEM","1"
"/docamm/docamm/vpg_fondo_economale.jasper",1,"Stampa del fondo economale","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/variazioni_bilancio.jasper",3,"Stampa delle variazioni di bilancio","SYSTEM","SYSTEM","1"
"/docamm/docamm/vpg_doc_generico.jasper",3,"Stampa massiva documenti generici","SYSTEM","SYSTEM","1"
"/docamm/docamm/partitario_compensi.jasper",1,"Partitario Anagrafico Compensi","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/avvpagmnd.jasper",1,"Avviso di Pagamento Mandato","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/giornale_delle_reversali.jasper",1,"Stampa Giornale delle Reversali","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_variazioni_pdg.rpt",5,"Stampa Variazioni PdG","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_competenza.rpt",5,"Stampa entrate/spese in c/competenza 2006","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/regaccert.jasper",1,"Registro Accertamenti","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/pagamenti_estero.jasper",1,"Situazione Pagamenti all'Estero","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/regannentratecds.jasper",1,"Registro Annotazioni di Entrata su Partita di Giro - CDS","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/regannentratecnr.jasper",1,"Registro Annotazioni di Entrata su Partita di Giro - CNR","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/regannspesacds.jasper",1,"Registro Annotazioni di Spesa su Partita di Giro - CDS","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/regannspesecnr.jasper",1,"Registro Annotazioni di Spesa su Partita di Giro - CNR","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/analitica_spese_lda_a1.jasper",2,"Situazione ANALITICA  per L.di A. Costi/Spese Anno Corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/sintetica_spese_lda_a1.jasper",2,"Situazione sintetica L.di A. Costi/Spese Anno Corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/impdip.jasper",1,"Imponibili Fiscali e Previdenziali Dipendenti","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/stampaordine.jasper",1,"Stampa Ordine","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/scadaccert.jasper",1,"Scadenzario Accertamenti","SYSTEM","SYSTEM","1"
"/cnranagrafica/clienti/prevdip.jasper",1,"Elenco iscrizione previdenziale dipendenti","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/stampariscontri.jasper",1,"Riscontri","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/stampasospesi.jasper",1,"Sospesi","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/sospesiasscds.jasper",1,"Sospesi CNR assegnati ai cds","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_entrate_x_esercizio.jasper",3,"Stampa entrate in c/residui per commessa/Esercizio Residuo","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_uscite_x_esercizio.jasper",3,"Stampa uscite in c/residui per commessa/Esercizio Residuo","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/Rendiconto_finanziario_decisionale_Parte_Entrate.jasper",3,"Rendiconto finanziario Decisionale Entrate","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/Rendiconto_finanziario_decisionale_Parte_Spese.jasper",3,"Rendiconto finanziario Decisionale Spese","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/Preventivo_finanziario_decisionale_Parte_Entrate.jasper",3,"Preventivo finanziario Decisionale Entrate","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/Preventivo_finanziario_decisionale_Parte_Spese.jasper",3,"Preventivo finanziario Decisionale Spese","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_uscite_x_voce.jasper",3,"Stampa uscite in c/residui per voce","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/registro_inventario_princ.jasper",3,"Registro inventario","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/stampa_sintetica_impegnato_x_fonte.jasper",2,"Stampa Sintetica Impegnato per Fonte","SYSTEM","SYSTEM","1"
"/preventivo/pdg/stampa_ricostruzione_residui.rpt",4,"Stampa Analitica delle Risorse provenienti dall'esercizio precedente","SYSTEM","SYSTEM","1"
"/registanaeco/movimenti/elencomovimentiperconto.rpt",5,"Elenco Movimenti per Conto","SYSTEM","SYSTEM","1"
"/docamm/docamm/compenso_massivo.jasper",1,"Stampa massiva compensi","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/Rendiconto_finanziario_gestionale_Parte_Entrate.jasper",2,"Rendiconto finanziario Gestionale Entrate","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/Rendiconto_finanziario_gestionale_Parte_Spese.jasper",2,"Rendiconto finanziario Gestionale Spese","SYSTEM","SYSTEM","1"
"/Sigla_Dwh/confronto_SIGLA_DWH.jasper",1,"Stampa Confronto SIGLA - DWH","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/stampasospesiassreversali.jasper",1,"Sospesi CNR associati a reversali","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/analitica_entrate_lda_a1.jasper",2,"Situazione Analitica Linea di Attivit? Ricavi/Entrate Anno corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/sintetica_entrate_lda_A1.jasper",2,"Situazione Sintetica Linea di Attivit? Ricavi/Entrate Anno corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendfinentratecds.jasper",3,"Rendiconto Finanziario CDS - Entrate","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendfinspesecds.jasper",3,"Rendiconto Finanziario CDS - Spese","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendfinspesecdsSAC.jasper",3,"Rendiconto Finanziario SAC per articolo - Spese","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/stampasospesiassmnd.jasper",1,"STAMPA SOSPESI CNR ASSOCIATI A MANDATI","SYSTEM","SYSTEM","1"
"/docamm/docamm/vpg_partitario_compensi.jasper",1,"Riepilogo compensi","SYSTEM","SYSTEM","1"
"/docamm/docamm/vpg_conguaglio.jasper",1,"Prospetto del conguaglio","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/liquid_iva_ann_acquisti_vendite.jasper",1,"Liquidazione IVA annuale - acquisti/vendite","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/liquid_iva_annuale.jasper",1,"Liquidazione Iva annuale","SYSTEM","SYSTEM","1"
"/doccont/doccont/situaz_singolo_conto.jasper",1,"Situazione singolo conto","SYSTEM","SYSTEM","1"
"/docamm/docamm/certificazione.jasper",1,"Stampa certificazione dei compensi e delle provvigioni","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/obbligazioni_riportabili.jasper",1,"Impegni riportabili","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/sospesidaassegnare.jasper",1,"Sospesi da assegnare","SYSTEM","SYSTEM","1"
"/docamm/docamm/estrazione_inps.jasper",1,"Estrazione dati INPS","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendiconto_fin_entrate_cnr_dz.jasper",3,"Rendiconto Finanziario CNR - Entrate","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendiconto_fin_spese_cnr_dz.jasper",3,"Rendiconto Finanziario CNR - Spese","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/stampa_beni_senza_utilizzatori.jasper",1,"Stampa beni senza utilizzatori","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_sintetica_rendicontazione_GAE.jasper",3,"Stampa Situazione Sintetica Rendicotazione GAE","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_var_stanziamento_res.jasper",3,"Stampa Variazioni Stanziamento Residuo","SYSTEM","SYSTEM","1"
"/docamm/docamm/compenso_dipendenti.jasper",1,"Stampa compenso dipendenti","SYSTEM","SYSTEM","1"
"/Sigla_Dwh/attivita_sigla.jasper",1,"Stampa Attivit? Sigla","SYSTEM","SYSTEM","1"
"/cnrconfigurazione/pdc/piano_dei_conti_fin.jasper",1,"Stampa PdC Finanziario","SYSTEM","SYSTEM","1"
"/docamm/docamm/certificazione_comunicaz_pignorato.jasper",1,"Stampa comunicazione ai terzi pignorati","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_sintetica_disp_GAE.jasper",3,"Stampa Situazione Sintetica Disponibilit? GAE","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_stato.jasper",1,"Stampa stato PDG","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdgdett_la_funzione_natura.jasper",1,"Stampa PDG per linee di attivit?","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdgdett_voce_funzione_natura.jasper",1,"Stampa PDG per voce funzione e natura","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdguo_voce_funzione_natura.jasper",1,"Stampa PDG aggregato per UO","SYSTEM","SYSTEM","1"
"/configurazione/sto/sto.jasper",1,"Stampa della struttura organizzativa","SYSTEM","SYSTEM","1"
"/configurazione/utenze/utente.jasper",1,"Stampa Ruoli/Accessi Utente","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cnr_entrata.jasper",2,"Stampa del Preventivo finanziario parte Entrate","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cds_entrata.jasper",2,"Stampa del Preventivo finanziario CDS parte Entrate","SYSTEM","SYSTEM","1"
"/preventivo/pdg/docpdgcdrprimo_voce_funzione_natura.jasper",1,"Documento dei Piani di Gestione Preventivi","SYSTEM","SYSTEM","1"
"/preventivo/pdg/docpdgente_voce_funzione_natura.jasper",2,"Aggregato per Ente dei Piani di Gestione","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdgcdrprimo_voce_funzione_natura.jasper",1,"Stampa PDG CDR I livello","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cds_spesa.jasper",2,"Stampa del Preventivo finanziario CDS parte Spese","SYSTEM","SYSTEM","1"
"/docamm/docamm/fatturaattiva_ncd.jasper",1,"Stampa fattura attiva, nota credito-debito su FA","SYSTEM","SYSTEM","1"
"/doccont/doccont/mandato.jasper",1,"Mandato","SYSTEM","SYSTEM","1"
"/doccont/doccont/reversale.jasper",1,"Reversale","SYSTEM","SYSTEM","1"
"/logs/batchlog.jasper",1,"Stampa logs batch applicativi","SYSTEM","SYSTEM","1"
"/doccont/doccont/distinta_cassiere.jasper",1,"Stampa distinta cassiere","SYSTEM","SYSTEM","1"
"/docamm/docamm/minicarriera_bds.jasper",1,"Stampa riepilogativa minicarriera per borsa di studio","SYSTEM","SYSTEM","1"
"/docamm/docamm/compenso.jasper",1,"Stampa compenso","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/registro_iva_acquisti.jasper",1,"Stampa registro iva acquisti","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/registro_iva_vendite.jasper",1,"Stampa registro iva vendite","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/registro_riepilogativo_uo.jasper",1,"Stampa registro riepilogativo IVA per uo","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cnr_entrata_dz.jasper",2,"Stampa del Preventivo finanziario parte Entrate importi diversi da 0","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cds_entrata_dz.jasper",2,"Stampa del Preventivo finanziario CDS parte Entrate impoti diversi da 0","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cds_spesa_dz.jasper",2,"Stampa del Preventivo finanziario CDS parte Spese importi diversi da 0","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cnr_spesa_dz.jasper",2,"Stampa del preventivo finanziario parte Spese importi diversi da 0","SYSTEM","SYSTEM","1"
"/cnrconfigurazione/pdc/piano_dei_conti_economico.jasper",1,"Stampa piano dei conti economico","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_etr_ist.rpt",5,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Entrate per Istituto)","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_spe_ist.rpt",5,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Spese per Istituto)","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_etr_dip.rpt",5,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Entrate per Dipartimento)","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_spe_dip.rpt",5,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Spese per Dipartimento)","SYSTEM","SYSTEM","1"
"/cnrconfigurazione/pdc/piano_dei_conti_finanziario_entrate_cnr_esercizio.jasper",1,"Stampa piano dei conti finanziario - Entrate CNR","SYSTEM","SYSTEM","1"
"/cnrconfigurazione/pdc/piano_dei_conti_finanziario_spese_cds_esercizio.jasper",1,"Stampa piano dei conti finanziario - Spese CDS","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/giornale_dei_mandati.jasper",2,"Stampa giornale dei mandati","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/registro_iva_differita.jasper",1,"Stampa Iva Differita","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_etr_delta.jasper",1,"Stampa PDG aggregato parte Entrate solo diff. con aggregato mod. Ente","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_spe_delta.jasper",1,"Stampa PDG aggregato parte Spese solo diff. con aggregato mod. Ente","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_spe_var.jasper",3,"Stampa variazioni (entrate) indotte da proposte di modifica pdg su aggregato parte Ente","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_etr_var.jasper",3,"Stampa variazioni (spese) indotte da proposte di modifica pdg su aggregato parte Ente","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/liquidazione_iva.jasper",1,"Stampa liquidazione IVA","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/registro_riepilogativo_centro.jasper",1,"Stampa registro riepilogativo IVA per centro","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/regobblig.jasper",1,"Registro Impegni","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/scadobblig.jasper",1,"Scadenzario Impegni","SYSTEM","SYSTEM","1"
"/docamm/docamm/vpg_missione.jasper",1,"Stampa massiva nota e prospetto liquidazione missione","SYSTEM","SYSTEM","1"
"/doccont/doccont/vpg_mandato.jasper",1,"Stampa massiva mandato","SYSTEM","SYSTEM","1"
"/doccont/doccont/vpg_reversale.jasper",3,"Stampa massiva reversale","SYSTEM","SYSTEM","1"
"/doccont/doccont/vpg_man_rev_ass.jasper",1,"Stampa mandato e reversali associate","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/obbligazioniperlineediattiv.jasper",2,"Impegni per GAE","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/personale_su_linee.jasper",2,"Ripartizione del personale su GAE","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/registro_inventario.jasper",3,"Registro inventario","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencocompensipervocedelpiano.jasper",1,"Elenco Compensi per voce del piano","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencodocumentigenericipervocepiano.jasper",1,"Elenco Documenti Generici Passivi per voce del piano","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencofatturepervocepiano.jasper",1,"Elenco Fatture per voce del piano","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/contoeconomicoriclassificato.jasper",2,"Conto Economico Riclassificato","SYSTEM","SYSTEM","1"
"/progettiric/progettiric/progetti_per_dip_ist.rpt",5,"stampa progetti per Dipartimento/Istituto","SYSTEM","SYSTEM","1"
"/progettiric/progettiric/anagrafica_progetti.rpt",5,"stampa anagrafica progetti","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_competenza_x_voce.rpt",5,"Stampa entrate/spese in c/competenza per voce","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/statopatrimonialericlassificato.jasper",2,"Stato Patrimoniale Riclassificato","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencofattureattivepercliente.jasper",1,"Elenco Fatture Attive per Cliente","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencofatturefornitori.jasper",1,"Elenco Fatture Passive per Fornitore","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/situazionedicassa.jasper",2,"Situazione di cassa","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdgdett_commessa.jasper",1,"Piano di gestione per COMMESSA","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/analitica_spese_lda_comres_a1.jasper",2,"Situazione ANALITICA per L.di A. Competenza/Residui Anno Corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/sintetica_spese_lda_comres_a1.jasper",2,"Situazione SINTETICA per L.di A. Competenza/Residui Anno Corrente","SYSTEM","SYSTEM","1"
"/progettiric/progettiric/elencoprogettila.jasper",1,"Elenco Gruppo di Azioni per Progetto/Commessa/Modulo","SYSTEM","SYSTEM","1"
"/cnrconfigurazione/contratti/ElencoContratti.jasper",1,"Elenco Contratti","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_variazioni_pdg_riepilogo.jasper",3,"Stampa Variazioni PdG Riepilogo","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_entrate.jasper",3,"Stampa entrate in c/residui","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_dett_imp_residui.jasper",3,"Stampa Dettaglio impegni in c/residui","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_uscite.jasper",3,"Stampa uscite in c/residui","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/libro_giornale.jasper",3,"Stampa Libro Giornale","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_etr_ist.jasper",3,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Entrate per Istituto)","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_spe_ist.jasper",3,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Spese per Istituto)","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_etr_dip.jasper",3,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Entrate per Dipartimento)","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_pdg_spe_dip.jasper",3,"PDG riclassificato secondo la struttura del Bil. di Prev. dell'Ente (Spese per Dipartimento)","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_variazioni_pdg.jasper",3,"Stampa Variazioni PdG","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_competenza.jasper",3,"Stampa entrate/spese in c/competenza","SYSTEM","SYSTEM","1"
"/preventivo/pdg/stampa_ricostruzione_residui.jasper",2,"Stampa Analitica delle Risorse provenienti dall'esercizio precedente","SYSTEM","SYSTEM","1"
"/registanaeco/movimenti/elencomovimentiperconto.jasper",1,"Elenco Movimenti per Conto","SYSTEM","SYSTEM","1"
"/preventivo/preventivo/bilancio_fin_cnr_spesa.rpt",5,"Stampa del preventivo finanziario parte Spese","SYSTEM","SYSTEM","1"
"/preventivo/pdg/discrepanze_insieme.rpt",5,"Discrepanze Importi Entrate-Spese","SYSTEM","SYSTEM","1"
"/configurazione/latt/linea_attivita.rpt",5,"Stampa delle linee di attivit?","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_etr.rpt",5,"Stampa PDG aggregato parte Entrate","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_aggregato_spe.rpt",5,"Stampa PDG aggregato parte spese","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdg_stato.rpt",5,"Stampa stato PDG","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdgdett_la_funzione_natura.rpt",5,"Stampa PDG per linee di attivit?","SYSTEM","SYSTEM","1"
"/docamm/docamm/missione.jasper",1,"Stampa nota e prospetto liquidazione missione","SYSTEM","SYSTEM","1"
