CD_HELP,PAGE,HELP_URL,DS_PAGE,FLAG_MAN,UTCR,UTUV,PG_VER_REC
"0021800000","/gestiva00/liquidazione_massa_iva.jsp","/helpres/help_not_found.html","Liquidazione massa iva - Liquidazione IVA di massa","N","SYSTEM","SYSTEM","1"
"0021900000","/compensi00/liquidazione_rate_minicarriera.jsp","/helpres/400 - 72 documenti amministrativi spesa - minicarriera - liquidazione massiva.htm","Liquidazione rate minicarriera - Liquidazione massiva minicarriere","N","SYSTEM","SYSTEM","1"
"0022100000","/breports/print_spooler.jsp","/helpres/help_not_found.html","Print spooler - Risultato ricerca","N","SYSTEM","SYSTEM","1"
"0022200000","/gestiva00/riepilogativi_iva_centro_definitivo.jsp","/helpres/help_not_found.html","Riepilogativi iva centro definitivo - Riepilogativi IVA Ente Definitivi","N","SYSTEM","SYSTEM","1"
"0022300000","/gestiva00/riepilogativi_iva_centro_provvisorio.jsp","/helpres/help_not_found.html","Riepilogativi iva centro provvisorio - Riepilogativi IVA Ente Provvisori","N","SYSTEM","SYSTEM","1"
"0022400000","/gestiva00/riepilogo_iva_differita_definitiva.jsp","/helpres/help_not_found.html","Riepilogo iva differita definitiva - Riepilogo Iva ad esigibilit? differita definitiva","N","SYSTEM","SYSTEM","1"
"0022500000","/gestiva00/riepilogo_iva_differita_provvisoria.jsp","/helpres/help_not_found.html","Riepilogo iva differita provvisoria - Riepilogo Iva ad esigibilit? differita provvisoria","N","SYSTEM","SYSTEM","1"
"0012200000","/util/print_spool_status.jsp","/helpres/help_not_found.html","Print spool status - Stampa offline","N","SYSTEM","SYSTEM","1"
"0012300000","/doccont00/prospetto_spese_cdr.jsp","/helpres/help_not_found.html","Prospetto spese cdr - Prospetto spese per Cdr e Linea Attivita","N","SYSTEM","SYSTEM","1"
"0012400000","/anagraf00/rappresentante_legale.jsp","/helpres/help_not_found.html","Rappresentante legale - Rappresentante Legale","N","SYSTEM","SYSTEM","1"
"0012500000","/util/requesttrace.jsp","/helpres/help_not_found.html","Requesttrace - Gestione trace sessione HTTP","N","SYSTEM","SYSTEM","1"
"0012600000","/docamm00/ricerca_accertamenti.jsp","/helpres/help_not_found.html","Ricerca accertamenti - Ricerca accertamenti per contabilizzazione","N","SYSTEM","SYSTEM","1"
"0012700000","/coepcoan00/ricerca_mastri.jsp","/helpres/help_not_found.html","Ricerca mastri - Visualizzazione mastri","N","SYSTEM","SYSTEM","1"
"0012800000","/coepcoan00/ricerca_mov_cont.jsp","/helpres/help_not_found.html","Ricerca mov cont - Ricerca movimenti contabili","N","SYSTEM","SYSTEM","1"
"0012900000","/docamm00/ricerca_obbligazioni.jsp","/helpres/help_not_found.html","Ricerca obbligazioni - Ricerca obbligazioni per contabilizzazione","N","SYSTEM","SYSTEM","1"
"0013000000","/fondecon00/ricerca_obbscad.jsp","/helpres/help_not_found.html","Ricerca obbscad - Ricerca obbligazioni per contabilizzazione","N","SYSTEM","SYSTEM","1"
"0013100000","/fondecon00/ricerca_spese.jsp","/helpres/help_not_found.html","Ricerca spese - Ricerca Spese del Fondo Economale","N","SYSTEM","SYSTEM","1"
"0013200000","/docamm00/risultato_eliminazione.jsp","/helpres/help_not_found.html","RisultatoEliminazione - Risultato eliminazione","N","SYSTEM","SYSTEM","1"
"0013300000","/compensi00/scaglione.jsp","/helpres/400 - 62 documenti amministrativi spesa - tabelle di riferimento Compensi - registra scaglione.htm","Scaglione - Scaglione","N","SYSTEM","SYSTEM","1"
"0013400000","/inventario00/scarico_inventario.jsp","http://servizi.si.cnr.it/wiki/index.php/Scarico_Inventario","Scarico inventario - Buono di Scarico","Y","SYSTEM","SYSTEM","1"
"0013500000","/inventario00/form_lista.jsp","/helpres/help_not_found.html","SelezionatoreListaAlbero - Risultato Ricerca","N","SYSTEM","SYSTEM","1"
"0013600000","/util/service_unavailable.jsp","/helpres/help_not_found.html","Service unavailable - Servizio non disponibile","N","SYSTEM","SYSTEM","1"
"0013700000","/utenze00/sessione_scaduta_loader.jsp","/helpres/help_not_found.html","Sessione scaduta loader - ","N","SYSTEM","SYSTEM","1"
"0013800000","/docamm00/sezionale.jsp","/helpres/110 - 10 configurazione - tabelle riferimento fatture - sezionali iva.htm","Sezionale - Sezionale","N","SYSTEM","SYSTEM","1"
"0014000000","/util/sqltrace.jsp","/helpres/help_not_found.html","Sqltrace - Gestione trace SQL","N","SYSTEM","SYSTEM","1"
"0014100000","/util/stampa.jsp","/helpres/help_not_found.html","Stampa - ","N","SYSTEM","SYSTEM","1"
"0014200000","/docamm00/tariffario.jsp","/helpres/110 - 50 configurazione - tabelle riferimento fatture - tariffario.htm","Tariffario - Tariffario ","N","SYSTEM","SYSTEM","1"
"0014300000","/anagraf00/termini_pagamento.jsp","/helpres/help_not_found.html","Termini pagamento - Termini di pagamento","N","SYSTEM","SYSTEM","1"
"0014400000","/anagraf00/terzo.jsp","/helpres/100 - 61 configurazione - anagrafica - terzi.htm","Terzo - Gestione terzo","N","SYSTEM","SYSTEM","1"
"0014500000","/fondiric00/testata_fondi_ricerca.jsp","/helpres/100 - 80 configurazione - fondi di ricerca - aggiornamento.htm","Testata fondi ricerca - Fondi di Ricerca","N","SYSTEM","SYSTEM","1"
"0014600000","/blogs/testata_log.jsp","/helpres/help_not_found.html","Testata log - Gestione logs","N","SYSTEM","SYSTEM","1"
"0014700000","/inventario00/tipo_ammortamento.jsp","/helpres/600 - 20  inventario - tipo ammortamento.htm","Tipo ammortamento - Tipo Ammortamento","N","SYSTEM","SYSTEM","1"
"0008900000","/util/messagebar.jsp","/helpres/help_not_found.html","Messagebar - ","N","SYSTEM","SYSTEM","1"
"0009000000","/missioni00/missione_abbattimenti.jsp","/helpres/400 - 57 documenti amministrativi spesa - tabelle di riferimento Missioni - registra abbattimenti.htm","Missione abbattimenti - Missione Abbattimenti","N","SYSTEM","SYSTEM","1"
"0009200000","/missioni00/missione_rimborso_km.jsp","/helpres/400 - 52 documenti amministrativi spesa - tabelle di riferimento Missioni - registra rimborso km.htm","Missione rimborso km - Missione Rimborso Km ","N","SYSTEM","SYSTEM","1"
"0009300000","/missioni00/missione_tariffario_auto.jsp","/helpres/400 - 53 documenti amministrativi spesa - tabelle di riferimento Missioni - registra tariffario auto.htm","Missione tariffario auto - Missione Tariffario Auto","N","SYSTEM","SYSTEM","1"
"0009400000","/missioni00/missione_tipo_pasto.jsp","/helpres/400 - 55 documenti amministrativi spesa - tabelle di riferimento Missioni - registra tipo pasto.htm","Missione tipo pasto - Tipo Pasto","N","SYSTEM","SYSTEM","1"
"0009600000","/anagraf00/modalita_pagamento.jsp","/helpres/100 - 62 configurazione - anagrafica - tipi di modalita pagamento.htm","Modalita pagamento - Modalit; di pagamento","N","SYSTEM","SYSTEM","1"
"0009700000","/docamm00/modalita_trasporto.jsp","/helpres/help_not_found.html","ModalitaTrasporto - Modalita Trasporto","N","SYSTEM","SYSTEM","1"
"0009800000","/docamm00/natura_transazione.jsp","/helpres/help_not_found.html","NaturaTransazione - Natura Transazione","N","SYSTEM","SYSTEM","1"
"0009900000","/docamm00/nomenclatura_combinata.jsp","/helpres/help_not_found.html","NomenclaturaCombinata - Nomenclatura Combinata","N","SYSTEM","SYSTEM","1"
"0010000000","/util/offline_print_report.jsp","/helpres/help_not_found.html","Offline print report - Stampa offline","N","SYSTEM","SYSTEM","1"
"0010100000","/doccont00/ordine.jsp","/helpres/300 - 17 documenti contabili - obbligazione - emetti ordine.htm","Ordine - Ordine","N","SYSTEM","SYSTEM","1"
"0010200000","/util/page_expired.jsp","/helpres/help_not_found.html","Page expired - Logo","N","SYSTEM","SYSTEM","1"
"0010300000","/config00/pdc_ep_capoconto.jsp","/helpres/help_not_found.html","Pdc ep capoconto - Gestione Piano dei Conti Econ./Patr. - Capoconto","N","SYSTEM","SYSTEM","1"
"0010400000","/config00/pdc_ep_conto.jsp","/helpres/help_not_found.html","Pdc ep conto - Gestione Piano dei Conti Econ./Patr. - Conto","N","SYSTEM","SYSTEM","1"
"0010500000","/config00/pdc_fin_cds_entrate.jsp","/helpres/100 - 46 configurazione - piano dei conti finanziario - capitolo cds entrata.htm","Pdc fin cds entrate - Piano dei conti CDS - Gestione entrate","N","SYSTEM","SYSTEM","1"
"0010600000","/config00/pdc_fin_cds_spese.jsp","http://servizi.si.cnr.it/wiki/index.php/Piano_dei_conti_finanziario","Pdc fin cds spese - Piano dei conti CDS - Gestione spese","Y","SYSTEM","SYSTEM","1"
"0010700000","/config00/pdc_fin_cnr_entrate_capitolo.jsp","http://servizi.si.cnr.it/wiki/index.php/Piano_dei_conti_finanziario","Pdc fin cnr entrate capitolo - Piano dei conti CNR - Gestione entrate","Y","SYSTEM","SYSTEM","1"
"0010800000","/config00/pdc_fin_cnr_entrate_categoria.jsp","/helpres/100 - 40 configurazione - piano dei conti finanziario - categoria cnr entrata.htm","Pdc fin cnr entrate categoria - Piano dei conti CNR - Gestione entrate","N","SYSTEM","SYSTEM","1"
"0010900000","/config00/pdc_fin_cnr_spese.jsp","/helpres/100 - 44 configurazione - piano dei conti finanziario - capitolo cnr spesa.htm","Pdc fin cnr spese - Piano dei conti CNR - Gestione spese","N","SYSTEM","SYSTEM","1"
"0011000000","/prevent00/pdg_aggregato.jsp","/helpres/200 - 40 preventivi - piano di gestione - piano di gestione aggregato.htm","Pdg aggregato - Piano di Gestione","N","SYSTEM","SYSTEM","1"
"0011100000","/prevent00/pdg_aggregato_etr.jsp","/helpres/200 - 40 preventivi - piano di gestione - piano di gestione aggregato.htm","Pdg aggregato etr - RICAVI / ENTRATE","N","SYSTEM","SYSTEM","1"
"0011200000","/prevent00/pdg_aggregato_spe.jsp","/helpres/200 - 40 preventivi - piano di gestione - piano di gestione aggregato.htm","Pdg aggregato spe - COSTI / SPESE","N","SYSTEM","SYSTEM","1"
"0011300000","/pdg00/pdg_main.jsp","/helpres/200 - 19 preventivi - piano di gestione - dettaglio delle spese ed entrate.htm","Pdg main -   Piano di Gestione","N","SYSTEM","SYSTEM","1"
"0011400000","/pdg00/pdg_stampe.jsp","/helpres/help_not_found.html","Pdg stampe - Piano di Gestione","N","SYSTEM","SYSTEM","1"
"0011500000","/pdg00/preventivo_etr.jsp","/helpres/200 - 18 preventivi - piano di gestione - dettaglio delle entrate.htm","Preventivo etr -   RICAVI / ENTRATE","N","SYSTEM","SYSTEM","1"
"0011600000","/pdg00/preventivo_spe.jsp","/helpres/200 - 17 preventivi - piano di gestione - dettaglio delle spese e costi.htm","Preventivo spe -   COSTI / SPESE","N","SYSTEM","SYSTEM","1"
"0011700000","/prevent00/preventivo_stampe.jsp","/helpres/help_not_found.html","Preventivo stampe - Preventivo finanziario CNR","N","SYSTEM","SYSTEM","1"
"0011800000","/utenze00/primo_login.jsp","/helpres/000 - 10 identificazione nel sistema.htm","Primo login - Login","N","SYSTEM","SYSTEM","1"
"0011900000","/util/print.jsp","/helpres/help_not_found.html","Print - ","N","SYSTEM","SYSTEM","1"
"0012000000","/util/print_menu.jsp","/helpres/help_not_found.html","Print menu - ","N","SYSTEM","SYSTEM","1"
"0012100000","/util/print_report.jsp","/helpres/help_not_found.html","Print report - Anteprima di stampa","N","SYSTEM","SYSTEM","1"
"0021000000","/doccont00/sospeso_riscontro.jsp","/helpres/help_not_found.html","Sospeso Riscontro - Gestione sospeso/riscontro","N","SYSTEM","SYSTEM","1"
"0021100000","/gestiva00/stampa_definitiva_registri_iva.jsp","/helpres/450 - 13  iva - registri iva definitivi.htm","Stampa definitiva registri iva - Stampa definitiva registri IVA","N","SYSTEM","SYSTEM","1"
"0021200000","/gestiva00/stampa_provvisoria_registri_iva.jsp","/helpres/450 - 10  iva - registri iva provvisori.htm","Stampa provvisoria registri iva - Stampa provvisoria registri IVA","N","SYSTEM","SYSTEM","1"
"0014800000","/doccont00/tipo_bollo.jsp","/helpres/help_not_found.html","Tipo bollo - Tipo Bollo","N","SYSTEM","SYSTEM","1"
"0014900000","/inventario00/tipo_carico_scarico.jsp","/helpres/600 - 30 inventario - tipo carico scarico.htm","Tipo carico scarico - Tipo Carico/Scarico","N","SYSTEM","SYSTEM","1"
"0015000000","/doccont00/tipo_consegna.jsp","/helpres/120 - 11 configurazione - tabelle riferimento obbligazioni - tipo consegna.htm","Tipo consegna - Tipo Consegna","N","SYSTEM","SYSTEM","1"
"0015100000","/compensi00/tipo_contributo_ritenuta.jsp","/helpres/400 - 63 documenti amministrativi spesa - tabelle di riferimento Compensi - registra tipo Contributo.htm","Tipo contributo ritenuta - Tipo Contributo Ritenuta","N","SYSTEM","SYSTEM","1"
"0015200000","/fondiric00/tipo_fondo_ricerca.jsp","/helpres/help_not_found.html","Tipo fondo ricerca - Definizione Tipi di Fondo di Ricerca","N","SYSTEM","SYSTEM","1"
"0015300000","/config00/tipo_linea_attivita.jsp","/helpres/100 - 32 configurazione - linea di attivita - gestione linee di attivita comune.htm","Tipo linea attivita - Linea attivita comune","N","SYSTEM","SYSTEM","1"
"0015400000","/doccont00/tipo_obbligazione.jsp","/helpres/120 - 10 configurazione - tabelle riferimento obbligazioni - tipo obbligazione.htm","Tipo obbligazione - Tipo Obbligazione","N","SYSTEM","SYSTEM","1"
"0015500000","/anagraf00/tipo_rapporto.jsp","/helpres/100 - 63 configurazione - anagrafica - tipi di rapporto.htm","Tipo rapporto - Tipo di rapporto","N","SYSTEM","SYSTEM","1"
"0015600000","/docamm00/tipo_sezionale.jsp","/helpres/help_not_found.html","Tipo sezionale - Tipo Sezionale ","N","SYSTEM","SYSTEM","1"
"0015700000","/compensi00/tipo_trattamento.jsp","/helpres/400 - 67 documenti amministrativi spesa - tabelle di riferimento Compensi - registra Tipo Trattamento.htm","Tipo trattamento - Tipo Trattamento","N","SYSTEM","SYSTEM","1"
"0015800000","/config00/tipo_unita_organizzativa.jsp","/helpres/help_not_found.html","Tipo unita organizzativa - Tipo Centro di Spesa","N","SYSTEM","SYSTEM","1"
"0015900000","/docamm00/tipologia_prestazione.jsp","/helpres/help_not_found.html","Tipologia prestazione - Tipologia della prestazione ","N","SYSTEM","SYSTEM","1"
"0016000000","/compensi00/tipologia_rischio.jsp","/helpres/400 - 69 documenti amministrativi spesa - tabelle di riferimento Compensi - registra Tipologia Rischio.htm","Tipologia rischio - Tipologia Rischio","N","SYSTEM","SYSTEM","1"
"0016100000","/compensi00/trattamento_cori.jsp","/helpres/400 - 68 documenti amministrativi spesa - tabelle di riferimento Compensi - registra Trattamento CORI.htm","Trattamento cori - Trattamento CORI","N","SYSTEM","SYSTEM","1"
"0016200000","/inventario00/ubicazione_bene.jsp","http://servizi.si.cnr.it/wiki/index.php/Ubicazione","Ubicazione bene - Ubicazione Bene","Y","SYSTEM","SYSTEM","1"
"0016300000","/util/uncaught_exception.jsp","/helpres/help_not_found.html","Uncaught exception - Gestione errori interni","N","SYSTEM","SYSTEM","1"
"0016400000","/config00/unita_organizzativa.jsp","/helpres/100 - 25 configurazione - struttura organizzativa - gestione unita organizzative.htm","Unita organizzativa - Gestione Unita Organizzativa","N","SYSTEM","SYSTEM","1"
"0016500000","/docamm00/valutastraniera.jsp","/helpres/110 - 35 configurazione - tabelle riferimento fatture - valuta straniera.htm","Valutastraniera - Valuta Straniera","N","SYSTEM","SYSTEM","1"
"0016600000","/preventvar00/var_bilancio.jsp","/helpres/200 - 70  preventivi - bilancio preventivo - variazioni di bilancio.htm","Var bilancio - Variazioni di Bilancio","N","SYSTEM","SYSTEM","1"
"0016700000","/doccont00/view_bilancio_cds.jsp","/helpres/help_not_found.html","View bilancio cds - Bilancio Entrate Cds","N","SYSTEM","SYSTEM","1"
"0016800000","/doccont00/view_doc_generico.jsp","/helpres/help_not_found.html","View doc generico - Visualizza Fattura","N","SYSTEM","SYSTEM","1"
"0016900000","/doccont00/view_fattura.jsp","/helpres/help_not_found.html","View fattura - Visualizza Fattura","N","SYSTEM","SYSTEM","1"
"0017000000","/docamm00/voceiva.jsp","/helpres/110 - 25 configurazione - tabelle riferimento fatture - voce iva.htm","Voceiva - Voce Iva","N","SYSTEM","SYSTEM","1"
"0017100000","/util/workspace.jsp","/helpres/help_not_found.html","Workspace - Logo","N","SYSTEM","SYSTEM","1"
"0009100000","/missioni00/missione_diaria.jsp","/helpres/400 - 56 documenti amministrativi spesa - tabelle di riferimento Missioni - registra diaria.htm","Missione diaria - Diaria","N","SYSTEM","SYSTEM","1"
"0009500000","/missioni00/missione_tipo_spesa.jsp","/helpres/400 - 54 documenti amministrativi spesa - tabelle di riferimento Missioni - registra tipo spesa.htm","Missione tipo spesa - Tipo Spesa","N","SYSTEM","SYSTEM","1"
"0003800000","/compensi00/detrazioni_lavoro.jsp","/helpres/400 - 64 documenti amministrativi spesa - tabelle di riferimento Compensi - registra Detrazioni Lavoro.htm","Detrazioni lavoro - Detrazioni Lavoro","N","SYSTEM","SYSTEM","1"
"0004200000","/config00/esercizio.jsp","/helpres/100 - 90 configurazione - esercizio contabile - apertura chiusura pdg.htm","Esercizio - Gestione Esercizio Contabile","N","SYSTEM","SYSTEM","1"
"0017200000","/anagraf00/abicab.jsp","/helpres/help_not_found.html","Abicab - Abi/Cab","N","SYSTEM","SYSTEM","1"
"0017300000","/doccont00/ass_manuale_mandato_reversale.jsp","/helpres/help_not_found.html","Ass manuale mandato reversale - Associazione manuale mandato/reversali","N","SYSTEM","SYSTEM","1"
"0017400000","/blogs/batch_control.jsp","/helpres/help_not_found.html","Batch control - Batch","N","SYSTEM","SYSTEM","1"
"0017500000","/anagraf00/cap.jsp","/helpres/help_not_found.html","Cap - C.A.P.","N","SYSTEM","SYSTEM","1"
"0017600000","/messaggio01/checkmessage.jsp","/helpres/help_not_found.html","Checkmessage - ","N","SYSTEM","SYSTEM","1"
"0017700000","/anagraf00/comune_estero.jsp","/helpres/help_not_found.html","Comune estero - Comuni Esteri","N","SYSTEM","SYSTEM","1"
"0017800000","/anagraf00/comune_italiano.jsp","/helpres/help_not_found.html","Comune italiano - Comuni Italiani","N","SYSTEM","SYSTEM","1"
"0017900000","/compensi00/conguaglio.jsp","/helpres/400 - 75 documenti amministrativi spesa - conguaglio - registra conguaglio.htm","Conguaglio - Conguaglio","N","SYSTEM","SYSTEM","1"
"0018000000","/prevent00/documento_pdg.jsp","/helpres/help_not_found.html","Documento pdg - Stampa aggregato CDR di I livello/Area","N","SYSTEM","SYSTEM","1"
"0018100000","/fondiric00/fondi_ricerca.jsp","/helpres/help_not_found.html","Fondi ricerca - Fondi di Ricerca","N","SYSTEM","SYSTEM","1"
"0018200000","/gestiva00/gestione_registri_iva.jsp","/helpres/450 - 20 iva - gestione registri iva.htm","Gestione registri iva - Gestione registri IVA","N","SYSTEM","SYSTEM","1"
"0018300000","/inventario00/inventario_beni.jsp","http://servizi.si.cnr.it/wiki/index.php/Gestione_bene","Inventario beni - Gestione Beni","Y","SYSTEM","SYSTEM","1"
"0018400000","/cori00/liquidazione_cori.jsp","/helpres/400 - 80 documenti amministrativi spesa - liquidazione cori- registra liquidazione cori.htm","Liquidazione cori - Liquidazione CORI","N","SYSTEM","SYSTEM","1"
"0018500000","/gestiva00/liquidazione_definitiva_iva.jsp","/helpres/450 - 30 iva - liquidazione definitiva.htm","Liquidazione definitiva iva - Liquidazione definitiva IVA","N","SYSTEM","SYSTEM","1"
"0018600000","/gestiva00/liquidazione_provvisoria_iva.jsp","/helpres/450 - 35 iva - liquidazione provvisoria.htm","Liquidazione provvisoria iva - Liquidazione provvisoria IVA","N","SYSTEM","SYSTEM","1"
"0018700000","/doccont00/lista_distinte_emesse.jsp","/helpres/310 - 32 interfaccia cassiere - invio distinta.htm","Lista distinte emesse - Invio a cassiere distinte Emesse","N","SYSTEM","SYSTEM","1"
"0018800000","/docamm00/lista_documenti_amministrativi_protocollabili.jsp","http://servizi.si.cnr.it/wiki/index.php/Documenti_Protocollabili","Lista documenti amministrativi protocollabili - Ricerca di un documento amministrativo","Y","SYSTEM","SYSTEM","1"
"0018900000","/docamm00/lista_documenti_amministrativi_ristampabili.jsp","/helpres/help_not_found.html","Lista documenti amministrativi ristampabili - Ricerca di un documento amministrativo ristampabile","N","SYSTEM","SYSTEM","1"
"0019000000","/messaggio00/lista_messaggi.jsp","/helpres/help_not_found.html","Lista messaggi - Messaggi","N","SYSTEM","SYSTEM","1"
