CD_NODO,DS_NODO,CD_ACCESSO,BUSINESS_PROCESS,PG_ORDINAMENTO,FL_TERMINALE,LIVELLO,URL_ICONA,CD_PROPRIO_NODO,CD_NODO_PADRE,URL_ICONA_OPEN,UTCR,UTUV,PG_VER_REC
"0.SERV.9999","Reset bulk infos","XXXRESINFCORERESINFX","ResetBulkInfos","2","Y","2","NULL","9999","0.SERV","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACNRE","capitolo CNR Entrata","NULL","NULL","1","N","3","NULL","CACNRE","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PE0020","associazione capitolo di entrata Ente - conto EP di ricavo","NULL","NULL","5","N","4","NULL","PE0020","0.CFG.PDCFIN.ASSC","NULL","SYSTEM","SYSTEM","1"
"0.CFG","Configurazione","NULL","NULL","2","N","1","import16.gif","CFG","0","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF","Anagrafica clienti/fornitori","NULL","NULL","40","N","2","NULL","ANAGCF","0.CFG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR","tabelle riferimento","NULL","NULL","5","N","3","NULL","TABR","0.CFG.ANAGCF","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.CLANAG","classificazione anagrafica","NULL","NULL","3","N","4","NULL","CLANAG","0.CFG.ANAGCF.TABR","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.CLANAG.M","gestione","CFGANAGCFTABRCLANAGM","CRUDClassificazioneAnag","2","Y","5","NULL","M","0.CFG.ANAGCF.TABR.CLANAG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.COMEST","comune estero","NULL","NULL","5","N","4","NULL","COMEST","0.CFG.ANAGCF.TABR","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.COMEST.M","gestione","CFGANAGCFTABRCOMESTM","CRUDComuniEsteri","2","Y","5","NULL","M","0.CFG.ANAGCF.TABR.COMEST","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.MODPAG","tipi di modalita di pagamento","NULL","NULL","4","N","4","NULL","MODPAG","0.CFG.ANAGCF.TABR","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.MODPAG.M","gestione","CFGANAGCFTABRMODPAGM","CRUDModalitaPagamento","2","Y","5","NULL","M","0.CFG.ANAGCF.TABR.MODPAG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.TERPAG","tipi di termini di pagamento","NULL","NULL","1","N","4","NULL","TERPAG","0.CFG.ANAGCF.TABR","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.TERPAG.M","gestione","CFGANAGCFTABRTERPAGM","CRUDTerminiPagamento","2","Y","5","NULL","M","0.CFG.ANAGCF.TABR.TERPAG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.TIPRAP","tipi di rapporto","NULL","NULL","2","N","4","NULL","TIPRAP","0.CFG.ANAGCF.TABR","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.TIPRAP.M","gestione","CFGANAGCFTABRTIPRAPM","CRUDTipoRapporto","2","Y","5","NULL","M","0.CFG.ANAGCF.TABR.TIPRAP","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.TABRIF.INVCON.M","gestione","AMMINVENTTABRINVCONM","CRUDInventarioConsegnatarioBP","2","Y","5","NULL","M","0.AMM.INVENT.TABRIF.INVCON","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.IMPPIG","annotaz. di spesa su partita giro","NULL","NULL","52","N","3","NULL","IMPPIG","0.DOC.OBBLIG","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.IMPPIG.V","visualizzazione","DOCOBBLIGCOREIMPPIGV","CRUDImpegnoPGiroBP","1","Y","4","NULL","V","0.DOC.OBBLIG.IMPPIG","NULL","SYSTEM","SYSTEM","1"
"0.DOC.OBBLIG.IMPPIG.M","gestione","DOCOBBLIGCOREIMPPIGM","CRUDImpegnoPGiroBP","2","Y","4","NULL","M","0.DOC.OBBLIG.IMPPIG","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.ACCPGI","annotaz. di entrata su partita giro","NULL","NULL","3","N","3","NULL","ACCPGI","0.DOC.ACCERT","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.ACCPGI.V","visualizzazione","DOCACCERTCOREACCPGIV","CRUDAccertamentoPGiroBP","1","Y","4","NULL","V","0.DOC.ACCERT.ACCPGI","NULL","SYSTEM","SYSTEM","1"
"0.DOC.ACCERT.ACCPGI.M","gestione","DOCACCERTCOREACCPGIM","CRUDAccertamentoPGiroBP","2","Y","4","NULL","M","0.DOC.ACCERT.ACCPGI","NULL","SYSTEM","SYSTEM","1"
"0.CFG.FONDI","Fondi di ricerca","NULL","NULL","80","N","2","NULL","FONDI","0.CFG","NULL","SYSTEM","SYSTEM","1"
"0.DOC.REVERS","Reversali","NULL","NULL","4","N","2","NULL","REVERS","0.DOC","NULL","SYSTEM","SYSTEM","1"
"0.DOC.REVERS.V","visualizzazione","DOCREVERSCOREREVERSV","CRUDReversaleBP","1","Y","3","NULL","V","0.DOC.REVERS","NULL","SYSTEM","SYSTEM","1"
"0.DOC.REVERS.M","gestione","DOCREVERSCOREREVERSM","CRUDReversaleBP","2","Y","3","NULL","M","0.DOC.REVERS","NULL","SYSTEM","SYSTEM","1"
"0.CFG.FONDI.TABR","tabelle di riferimento","NULL","NULL","3","N","3","NULL","TABR","0.CFG.FONDI","NULL","SYSTEM","SYSTEM","1"
"0.CFG.FONDI.TABR.TPFNDR","tipi fondi di ricerca","NULL","NULL","1","N","4","NULL","TPFNDR","0.CFG.FONDI.TABR","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.ACCR","Accreditamento CNR-CdS","NULL","NULL","60","N","3","NULL","ACCR","0.DOC.MANDAT","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.ACCR.ACC0V","visualizzazione","DOCMANDATCOREACCRE0V","CRUDMandatoAccreditamentoBP","1","Y","4","NULL","ACC0V","0.DOC.MANDAT.ACCR","NULL","SYSTEM","SYSTEM","1"
"0.DOC.MANDAT.ACCR.ACC0M","gestione","DOCMANDATCOREACCRE0M","CRUDMandatoAccreditamentoBP","2","Y","4","NULL","ACC0M","0.DOC.MANDAT.ACCR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FDECON","Fondo economale","NULL","NULL","7","N","2","NULL","FDECON","0.AMM","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.ATTCOM","attivita commerciale","NULL","NULL","5","N","4","NULL","ATTCOM","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.ATTCOM.M","gestione","AMMFATTURTABRATTCOMM","CRUDAttivitaCommercialeBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.ATTCOM","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.ATTCOM.V","visualizzazione","AMMFATTURTABRATTCOMV","CRUDAttivitaCommercialeBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.ATTCOM","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.BENSER","bene servizio","NULL","NULL","3","N","4","NULL","BENSER","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.BENSER.M","gestione","AMMFATTURTABRBENSERM","CRUDBeneServizioBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.BENSER","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.BENSER.V","visualizzazione","AMMFATTURTABRBENSERV","CRUDBeneServizioBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.BENSER","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.CAMBIO","cambio","NULL","NULL","1","N","4","NULL","CAMBIO","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.CAMBIO.M","gestione","AMMFATTURTABRCAMBIOM","CRUDCambioBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.CAMBIO","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.CAMBIO.V","visualizzazione","AMMFATTURTABRCAMBIOV","CRUDCambioBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.CAMBIO","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.GRUIVA","gruppo IVA","NULL","NULL","4","N","4","NULL","GRUIVA","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.GRUIVA.M","gestione","AMMFATTURTABRGRUIVAM","CRUDGruppoIvaBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.GRUIVA","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.GRUIVA.V","visualizzazione","AMMFATTURTABRGRUIVAV","CRUDGruppoIvaBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.GRUIVA","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.SEZION","sezionale","NULL","NULL","7","N","4","NULL","SEZION","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.SEZION.M","gestione","AMMFATTURTABRSEZIONM","CRUDSezionaleBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.SEZION","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.SEZION.V","visualizzazione","AMMFATTURTABRSEZIONV","CRUDSezionaleBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.SEZION","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.TARIFF","Tariffario","NULL","NULL","9","N","4","NULL","TARIFF","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.TARIFF.M","gestione","AMMFATTURTABRTARIFFM","CRUDTariffarioBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.TARIFF","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.TARIFF.V","visualizzazione","AMMFATTURTABRTARIFFV","CRUDTariffarioBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.TARIFF","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.TIPSEZ","tipo sezionale","NULL","NULL","6","N","4","NULL","TIPSEZ","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.TIPSEZ.V","visualizzazione","AMMFATTURTABRTIPSEZV","CRUDTipoSezionaleBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.TIPSEZ","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.VALSTR","valuta straniera","NULL","NULL","8","N","4","NULL","VALSTR","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.VALSTR.M","gestione","AMMFATTURTABRVALSTRM","CRUDValutaStranieraBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.VALSTR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.VALSTR.V","visualizzazione","AMMFATTURTABRVALSTRV","CRUDValutaStranieraBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.VALSTR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.VOCIVA","voce iva","NULL","NULL","2","N","4","NULL","VOCIVA","0.AMM.FATTUR.TABR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.VOCIVA.M","gestione","AMMFATTURTABRVOCIVAM","CRUDVoceIvaBP","2","Y","5","NULL","M","0.AMM.FATTUR.TABR.VOCIVA","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR.VOCIVA.V","visualizzazione","AMMFATTURTABRVOCIVAV","CRUDVoceIvaBP","1","Y","5","NULL","V","0.AMM.FATTUR.TABR.VOCIVA","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT","Inventario","NULL","NULL","5","N","2","NULL","INVENT","0.AMM","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.CARINV","Carico Inventario","NULL","NULL","1","N","3","NULL","CARINV","0.AMM.INVENT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.CARINV.M","gestione","AMMINVENTCORECARINVM","CRUDCaricoInventarioBP","2","Y","4","NULL","M","0.AMM.INVENT.CARINV","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT","Gruppo di Azioni Elementari","NULL","NULL","10","N","2","NULL","LINATT","0.CFG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.COMUN.M","gestione","CFGLINATTASSC000010M","CRUDTipo_linea_attivitaBP","2","Y","4","NULL","M","0.CFG.LINATT.COMUN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.COMUN.V","visualizzazione","CFGLINATTASSC000010V","CRUDTipo_linea_attivitaBP","1","Y","4","NULL","V","0.CFG.LINATT.COMUN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.GRUPP.M","gestione","CFGLINATTTABRGRPLATM","CRUDGruppo_linea_attivitaBP","2","Y","4","NULL","M","0.CFG.LINATT.GRUPP","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.GRUPP.V","visualizzazione","CFGLINATTTABRGRPLATV","CRUDGruppo_linea_attivitaBP","1","Y","4","NULL","V","0.CFG.LINATT.GRUPP","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCECP","Piano dei conti E/P","NULL","NULL","60","N","2","NULL","PDCECP","0.CFG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN","Piano dei conti finanziario","NULL","NULL","20","N","2","NULL","PDCFIN","0.CFG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PE0010","associazione capitolo di spesa Cds conto EP costo","NULL","NULL","3","N","4","NULL","PE0010","0.CFG.PDCFIN.ASSC","NULL","SYSTEM","SYSTEM","1"
"0","Contabilita CNR","NULL","NULL","1","N","0","NULL","0","NULL","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PE0010.M","gestione","CFGPDCFINASSCPE0010M","CRUDConfigAssCapSpesaCdsContoEconomCostoBP","2","Y","5","NULL","M","0.CFG.PDCFIN.ASSC.PE0010","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.COMUN","GAE comune","NULL","NULL","3","N","3","NULL","COMUN","0.CFG.LINATT","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.GRUPP","macrolinea di attivit?","NULL","NULL","5","N","3","NULL","GRUPP","0.CFG.LINATT","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CECON","classificazione economica","NULL","NULL","7","N","3","NULL","CECON","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CECON.M","gestione categoria economica","CFGPDCFINTABRCATECOM","CRUDConfigCapocontoFinBP","2","Y","4","NULL","M","0.CFG.PDCFIN.CECON","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CECON.V","visualizzazione categoria economica","CFGPDCFINTABRCATECOV","CRUDConfigCapocontoFinBP","1","Y","4","NULL","V","0.CFG.PDCFIN.CECON","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.M","gestione","CFGLINATTCORELINATTM","CRUDLinea_attivitaBP","2","Y","3","NULL","M","0.CFG.LINATT","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.V","visualizzazione","CFGLINATTCORELINATTV","CRUDLinea_attivitaBP","1","Y","3","NULL","V","0.CFG.LINATT","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.UNIORG.V","visualizzazione","CFGSTRORGCOREUNIORGV","CRUDConfigUnitaOrgBP","1","Y","4","NULL","V","0.CFG.STRORG.UNIORG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACDSS.V","visualizzazione","CFGPDCFINCORECACDSSV","CRUDConfigPdcCDSSpeseBP","1","Y","4","NULL","V","0.CFG.PDCFIN.CACDSS","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CDRAMM","centro di responsabilita","NULL","NULL","5","N","3","NULL","CDRAMM","0.CFG.STRORG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CDRAMM.M","gestione","CFGSTRORGCORECDRAMMM","CRUDConfigCdRBP","2","Y","4","NULL","M","0.CFG.STRORG.CDRAMM","NULL","SYSTEM","SYSTEM","1"
"0.CFG.STRORG.CDRAMM.V","visualizzazione","CFGSTRORGCORECDRAMMV","CRUDConfigCdRBP","1","Y","4","NULL","V","0.CFG.STRORG.CDRAMM","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.INSLAT","Insieme GAE","NULL","NULL","4","N","3","NULL","INSLAT","0.CFG.LINATT","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.INSLAT.V","visualizzazione","CFGLINATTTABRINSLATV","CRUDInsieme_laBP","1","Y","4","NULL","V","0.CFG.LINATT.INSLAT","NULL","SYSTEM","SYSTEM","1"
"0.CFG.LINATT.INSLAT.M","gestione","CFGLINATTTABRINSLATM","CRUDInsieme_laBP","2","Y","4","NULL","M","0.CFG.LINATT.INSLAT","NULL","SYSTEM","SYSTEM","1"
"0.AMM","Documenti amministrativi","NULL","NULL","5","N","1","properties16.gif","AMM","0","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN","Documenti generici","NULL","NULL","2","N","2","NULL","DOCGEN","0.AMM","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.GENATT","documento generico attivo","NULL","NULL","1","N","3","NULL","GENATT","0.AMM.DOCGEN","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.GENATT.M","gestione","AMMDOCGENDOCSGENATTM","CRUDGenericoAttivoBP","2","Y","4","NULL","M","0.AMM.DOCGEN.GENATT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.GENATT.V","visualizzazione","AMMDOCGENDOCSGENATTV","CRUDGenericoAttivoBP","1","Y","4","NULL","V","0.AMM.DOCGEN.GENATT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.GENPAS","documento generico passivo","NULL","NULL","2","N","3","NULL","GENPAS","0.AMM.DOCGEN","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.GENPAS.M","gestione","AMMDOCGENDOCSGENPASM","CRUDGenericoPassivoBP","2","Y","4","NULL","M","0.AMM.DOCGEN.GENPAS","NULL","SYSTEM","SYSTEM","1"
"0.AMM.DOCGEN.GENPAS.V","visualizzazione","AMMDOCGENDOCSGENPASV","CRUDGenericoPassivoBP","1","Y","4","NULL","V","0.AMM.DOCGEN.GENPAS","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR","Fatture","NULL","NULL","3","N","2","NULL","FATTUR","0.AMM","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.FATATT","fattura attiva","NULL","NULL","2","N","3","NULL","FATATT","0.AMM.FATTUR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.FATATT.M","gestione","AMMFATTURDOCSFATATTM","CRUDFatturaAttivaBP","2","Y","4","NULL","M","0.AMM.FATTUR.FATATT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.FATATT.V","visualizzazione","AMMFATTURDOCSFATATTV","CRUDFatturaAttivaBP","1","Y","4","NULL","V","0.AMM.FATTUR.FATATT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.FATPAS","fattura passiva","NULL","NULL","1","N","3","NULL","FATPAS","0.AMM.FATTUR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.FATPAS.M","gestione","AMMFATTURDOCSFATPASM","CRUDFatturaPassivaBP","2","Y","4","NULL","M","0.AMM.FATTUR.FATPAS","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.FATPAS.V","visualizzazione","AMMFATTURDOCSFATPASV","CRUDFatturaPassivaBP","1","Y","4","NULL","V","0.AMM.FATTUR.FATPAS","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.TABR","tabelle di riferimento","NULL","NULL","4","N","3","NULL","TABR","0.AMM.FATTUR","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.TABRIF.INVCON","Consegnatario","NULL","NULL","6","N","4","NULL","INVCON","0.AMM.INVENT.TABRIF","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.TABRIF.INVCON.V","visualizzazione","AMMINVENTTABRINVCONV","CRUDInventarioConsegnatarioBP","1","Y","5","NULL","V","0.AMM.INVENT.TABRIF.INVCON","NULL","SYSTEM","SYSTEM","1"
"0.AMM.FATTUR.FATATT.DOCPRO","documenti protocollabili","NULL","NULL","5","N","4","NULL","DOCPRO","0.AMM.FATTUR.FATATT","NULL","SYSTEM","SYSTEM","1"
"0.AMM.INVENT.CARINV.V","visualizzazione","AMMINVENTCORECARINVV","CRUDCaricoInventarioBP","1","Y","4","NULL","V","0.AMM.INVENT.CARINV","NULL","SYSTEM","SYSTEM","1"
