"cd_categoria_gruppo","ds_categoria_gruppo","fl_gestione_inventario","fl_gestione_magazzino","fl_ammortamento","cd_proprio","livello","data_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec","cd_categoria_padre","fl_gestione_targa","fl_gestione_seriale"
"11.1","INCREMENTI SU BENI DI TERZI","Y","Y","Y","1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2004-03-30T16:53:13.000","MATRASCIA","1","11","N","N"
"12.1","BREVETTI","Y","Y","Y","1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2004-03-30T16:53:45.000","MATRASCIA","1","12","N","N"
"13.1","SOFTWARE","Y","Y","Y","1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2004-03-30T16:53:59.000","MATRASCIA","1","13","N","N"
"18.1","COSTRUZIONI LEGGERE","Y","Y","Y","1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2004-06-01T12:20:55.000","MATRASCIA","1","18","N","N"
"19.1","IMPIANTI GENERICI","Y","Y","Y","1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2004-06-01T12:21:13.000","MATRASCIA","1","19","N","N"
"0.5.4","Utilizzo opere dell'ingegno","N","Y","N","5.4","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2005-01-25T13:49:34.000","FIORETTOT","1","0","N","N"
"1.998","BANDIERE ED ACCESSORI","Y","Y","Y","998","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2005-01-28T11:03:14.000","TERILLIR","1","1","N","N"
"3.3641","ELETTRODIALIZZATORI","Y","Y","Y","3641","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.8121","TENDE OSCURANTI","Y","Y","Y","8121","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3681","ELETTROENCEFALOGRAFI","Y","Y","Y","3681","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1362","ELETTROVENTILATORI","Y","Y","Y","1362","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3721","ELEVATORI","Y","Y","Y","3721","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3761","ESSICCATORI","Y","Y","Y","3761","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3361","DINAMOMETRI","Y","Y","Y","3361","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3161","CONTENITORI (SECCHI,BIDONI, ECC.)","Y","Y","Y","3161","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.2961","COMPRESSORI","Y","Y","Y","2961","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3001","CONDIZIONATORI D'ARIA","Y","Y","Y","3001","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.7682","CONDIZIONATORI ELETTRONICI","Y","Y","Y","7682","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.4322","CONGELATORI","Y","Y","Y","4322","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3041","CONTACOLONIE","Y","Y","Y","3041","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3081","CONTAGLOBULI","Y","Y","Y","3081","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.5842","CONTASECONDI","Y","Y","Y","5842","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.2201","CAMERE UMIDE","Y","Y","Y","2201","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3121","CONTATORI GEIGER","Y","Y","Y","3121","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1960","BORSE E VALIGIE","Y","Y","Y","1960","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3241","DENSIMETRI","Y","Y","Y","3241","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3160","CONTENITORI","Y","Y","Y","3160","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.725","DEMINERALIZZATORI","Y","Y","Y","725","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3162","CONTENITORI PER RIFIUTI RADIOATTIVI","Y","Y","Y","3162","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.8201","TESTER","Y","Y","Y","8201","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3723","CRICK","Y","Y","Y","3723","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3201","CRIOSTATI","Y","Y","Y","3201","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.4522","CROMATOGRAFI","Y","Y","Y","4522","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1683","TERMOSTATI A IMMERSIONE","Y","Y","Y","1683","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.8181","TERMOSTATI","Y","Y","Y","8181","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1684","TERMOMISCELATORI","Y","Y","Y","1684","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.8161","TERMOMETRI","Y","Y","Y","8161","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.807","TERMOIGROGRAFI","Y","Y","Y","807","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1442","COMPASSI","Y","Y","Y","1442","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.3123","CONTATORI VARI","Y","Y","Y","3123","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1041","APPARECCHI PER STERILIZZAZIONI","Y","Y","Y","1041","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1002","APPARECCHI PER ELETTROFISIOLOGIA","Y","Y","Y","1002","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.481","APPARECCHI PER ELETTROFORESI","Y","Y","Y","481","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1001","APPARECCHI PER ELETTROSCHOCK","Y","Y","Y","1001","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1121","APPARECCHI PER FILTRAZIONE","Y","Y","Y","1121","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.561","APPARECCHI PER GENERARE GHIACCIO SECCO E A SCAGLIE","Y","Y","Y","561","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.521","APPARECCHI PER GEODESIA","Y","Y","Y","521","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.601","APPARECCHI PER GRADIENTI","Y","Y","Y","601","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.8640","VASCHE E LAVELLI","Y","Y","Y","8640","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.641","APPARECCHI PER LA DETERMINAZIONE DEL PUNTO DI FUSIONE","Y","Y","Y","641","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.721","APPARECCHI PER LA DISTILLAZIONE","Y","Y","Y","721","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.722","APPARECCHI PER LA PRODUZIONE DI ACQUA ULTRAPURA","Y","Y","Y","722","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.9991","TRASFERIMENTO BENI MOBILI DA ALTRI CONSEGNATARI","Y","Y","Y","9991","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.761","APPARECCHI PER RADIOATTIVITA'","Y","Y","Y","761","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.361","APPARECCHI FOTOGRAFICI","Y","Y","Y","361","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.961","APPARECCHI PER TITOLAZIONI","Y","Y","Y","961","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.312","VASCHE AD ULTRASUONI","Y","Y","Y","312","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1561","APPARECCHI PER VUOTO","Y","Y","Y","1561","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.841","APPARECCHI RADIORICEVITORI","Y","Y","Y","841","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.8641","VASCHE","Y","Y","Y","8641","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.8600","VARIATORI DI TENSIONE E RESISTENZE","Y","Y","Y","8600","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1601","APPARECCHI VARI","Y","Y","Y","1601","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
"3.1081","APPARECCHI VIDEO PER OCULISTICA","Y","Y","Y","1081","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:52.000","SYSTEM","1","3","N","N"
