"cd_unita_operativa","ds_unita_operativa","cd_unita_organizzativa","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"FOS.28.6","Neurofisiologia","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"FOS.28.99",".","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31","Lab. IGIENE AMBIENTALE","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"IA.31.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.1","Epidemiologia ambientale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.2","Igiene dell'acqua","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.3","Igiene dell'aria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.4","Igiene del suolo","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.5","Medicina ambientale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.6","Metodologia tutela ambiente","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.7","Microbiologia ambientale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.8","Valutazione impatto ambientale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IA.31.99",".","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IB.36","Lab. INGEGNERIA BIOMEDICA","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"IB.36.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IB.36.1","Biomateriali","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IB.36.2","Diagnostica monitoraggio funz.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IB.36.3","Tecnologia immagini biomediche","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IB.36.4","Tecnologie terapeutiche riab.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IB.36.99",".","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IMM.34","Lab. IMMUNOLOGIA","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"IMM.34.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IMM.34.1","Allergologia","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IMM.34.2","Immunobiologia","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IMM.34.3","Immunochimica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IMM.34.4","Immunologia dei tumori","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"IMM.34.5","Istocompatibilit?","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"ON0373","ORG. NOTIFICATO UNIFICATO 0373","000.001","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2016-06-17T11:20:33.000","FIORETTOT","1"
"DIP.FARM1.1","Farmacologia Molecolare e Cell","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.FARM1.2","Farmacogen.Farmacores.Terap.Sp","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.3","Farmac.Processi Degenerativi","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.4","Farmac.Salute Bambino e Donna","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.5","Farmac.Sist. Nervoso Centrale","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.6","Farmac.Terapia Mal.da Virus","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.7","Farmacologia Pre-Clinica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.FARM1.8","Farmacodip.Tossicodip.e Doping","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.9","Farmac.Bioc.Un.Coord.Att.Consu","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.10","Qualit? Farm.di origine Chimic","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.11","Farmacopea e Qualit? dei Medic","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.FARM1.12","Med.Comp.Natur.Trad.Sic.Cosmet","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.FARM1.13","Ricerca Clinica e Farmac.Speri","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T11:03:41.000","FIORETTOT","1"
"DIP.EOMM1.1","Cellule Staminali ed Endotelio","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.EOMM1.2","Emoglobinopatie e Ematopoiesi","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.EOMM1.3","Metodologie Trasfusionali","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.EOMM1.4","Biochimica e Biol.Molec.Clinic","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:37:08.000","FIORETTOT","1"
"DIP.EOMM1.5","Oncologia Medica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.EOMM1.6","Oncologia Molecolare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.EOMM1.7","Biotecn.Oncologiche ed Emat.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:37:08.000","FIORETTOT","1"
"DIP.EOMM1.8","Fisiopatol.delle Malattie Gene","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:37:08.000","FIORETTOT","1"
"DIP.EOMM1.9","Lipidi e Arteriosclerosi","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.EOMM1.10","Fisio.Malattie Renali Pat.Corr","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:37:08.000","FIORETTOT","1"
"DIP.TESA1.1","Radioat. e Effetti sulla Salut","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"DIP.TESA1.2","Radiazioni non Ionizzanti ","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.TESA1.3","FisicaTecn.Nucleare Per Salute","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"DIP.TESA1.4","Dos.Rad.Difetti Radioindotti","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"DIP.TESA1.5","Modelli Sistemi Comp.Stima Ris","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"DIP.TESA1.6","Biof.Radiazioni ionizzanti","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"DIP.TESA1.7","Tecnologie Fisiche in Biom","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2014-05-14T15:10:38.000","FIORETTOT","1"
"DIP.TESA1.9","Metodi Ultra.Terapie Innovativ","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"DIP.TESA1.10","Val. e qualit? Tecn.Biomed.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"DIP.TESA1.11","Biomateriali e biosistemi","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T00:00:00.000","FIORETTOT","1"
"DIP.TESA1.12","Biomeccanica e Tecn.Riabil.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-19T10:14:20.000","FIORETTOT","1"
"SA.63","R.E. Uff. IV Congressi e Conv.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-02-13T13:00:50.000","MODIFICA1","1"
"SA.79","R.E. Uff. IV Congressi e Conv.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-26T08:31:09.000","FIORETTOT","1"
"SP.FRU","R.U. Uff. V Formazione Svil.RU","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-02-06T10:54:17.000","FIORETTOT","1"
"CN.AIDS","Centro Nazionale AIDS","000.002","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2005-12-27T11:28:03.000","MODIFICA1","1"
"ISS","ISTITUTO SUPERIORE DI SANITA'","000.003","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2001-10-31T15:35:31.000","SYSTEM","1"
"CENTRO R","CENTRO DI RESPONSABILITA'","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2001-10-01T13:03:28.000","SYSTEM","1"
"AL.10","Lab. ALIMENTI","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:48.000","FIORETTOT","1"
"AL.10.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"AL.10.2","Alimenti lipidici","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"AL.10.3","Chimica dei cereali","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"AL.10.4","Dietetica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"AL.10.5","Igiene tecnologie alimentari","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"AL.10.6","Microbiologia degli alimenti","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BC.16","Lab. BIOLOGIA CELLULARE","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"BC.16.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BC.16.1","Biochimica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BC.16.3","Biofisica molecolare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BC.16.4","Biologia molecolare sistema ne","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BC.16.5","Fisiologia cellulare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BC.16.6","Genetica molecolare","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BC.16.99",".","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BCL.14","Lab. BIOCHIMICA CLINICA","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"BCL.14.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BCL.14.2","Chimica clinica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BCL.14.3","Diagnostica sostanze d'abuso","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BCL.14.4","Enzimologia clinica","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BCL.14.5","Immunometria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BCL.14.6","Metodologia di biochimica emat","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BCL.14.7","Metodologie trasfusionali","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BL.80","BIBLIOTECA","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2001-10-31T15:32:50.000","SYSTEM","1"
"BMM.12","Lab. BATTERIOLOGIA E MICOLOGIA","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-29T13:58:51.000","FIORETTOT","1"
"BMM.12.0","Direzione e Segreteria","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BMM.12.1","Batteri anaerobi","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BMM.12.2","Batteri grampositivi e acidor.","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
"BMM.12.3","Miceti patogeni","NULL","NULL","2017-04-20T16:59:30.000","MIGRAZIONE","2004-01-27T16:57:36.000","FIORETTOT","1"
