"cd_ti_spesa","ti_area_geografica","pg_nazione","pg_rif_inquadramento","dt_inizio_validita","ds_ti_spesa","fl_giustificativo_richiesto","fl_pasto","fl_trasporto","fl_rimborso_km","fl_alloggio","cd_divisa","limite_max_spesa","percentuale_maggiorazione","dt_fine_validita","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec","fl_ammissibile_con_rimborso"
"ASSICURAZIONI","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE ASSICURAZIONE","Y","N","N","N","N","EURO","999999999.00","0.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","N"
"AUTOBUS CON INDEN","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE EXTRAURBANE CON INDENNITA'","Y","N","Y","N","N","EURO","999999999.00","10.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","N"
"AUTOBUS/CORRIERA","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE VIAGGIO SENZA INDENNITA'","Y","N","Y","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"CUCCETTA","*","0","0","1999-01-01T00:00:00.000","COSTO CUCCETTA","Y","N","Y","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"INDENNITA' KM","*","0","0","1999-01-01T00:00:00.000","INDENNITA' CHILOMETRICA USO AUTO PROPRIA","Y","N","Y","Y","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2013-05-24T15:03:54.000","CED","3","N"
"ISCRIZIONE CONGRESSO","*","0","0","1999-01-01T00:00:00.000","ISCRIZIONE A CONGRESSO/CONVEGNO","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"METRO","*","0","0","1999-01-01T00:00:00.000","METROPOLITANA/ LINEE URBANE","Y","N","Y","N","N","EURO","999999999.00","0.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","N"
"NOLEGGIO AUTO","*","0","0","1999-01-01T00:00:00.000","RIMBORSO FATTURA NOLEGGIO AUTO","Y","N","Y","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"PARCHEGGIO","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE DI PARCHEGGIO","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"PASTO","I","1","0","1999-01-01T00:00:00.000","RIMBORSO SPESE PASTO","Y","Y","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"PEDAGGIO AUTOSTRADA","*","0","0","1999-01-01T00:00:00.000","PEDAGGIO AUTOSTRADALE","Y","N","Y","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"SPESE BAGAGLI","*","0","0","1999-01-01T00:00:00.000","SPESE PER TRASPORTO BAGAGLI","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"SPESE VISTO","*","0","0","1999-01-01T00:00:00.000","SPESE DI VISTO PER VIAGGI ALL'ESTERO","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","Y"
"TASSA D'IMBARCO","*","0","0","1999-01-01T00:00:00.000","TASSA D'IMBARCO","Y","N","N","N","N","EURO","999999999.00","0.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","N"
"TAXI","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE TAXI/LANDOMAS","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","Y"
"TELEFONO","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE TELEFONICHE","Y","N","N","N","N","EURO","999999999.00","0.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","N"
"TRENO","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE VIAGGIO + INDENNITA'","Y","N","Y","N","N","EURO","999999999.00","10.00","2010-05-31T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:53.000","CED","2","N"
"TRENO SENZA IND","*","0","0","1999-01-01T00:00:00.000","BIGLIETTI TRENO SENZA INDENNITA' 10%","Y","N","Y","N","N","EURO","999999999.00","0.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:53.000","CED","2","N"
"NAVE","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE VIAGGIO LINEE EXTRAURBANE CON INDENNITA'","Y","N","Y","N","N","EURO","999999999.00","10.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","3","N"
"AEREO","*","0","0","2010-05-31T00:00:00.000","RIMBORSO BIGLIETTO AEREO","Y","N","Y","N","N","EURO","999999999.00","0.00","2100-12-31T00:00:00.000","NULL","2011-09-23T15:03:53.000","CED","2011-09-23T15:03:54.000","CED","2","Y"
"TRENO","*","0","0","2010-05-31T00:00:00.000","RIMBORSO BIGLIETTO TRENO","Y","N","Y","N","N","EURO","999999999.00","0.00","2100-12-31T00:00:00.000","NULL","2011-09-23T15:03:53.000","CED","2011-09-23T15:03:54.000","CED","2","Y"
"NAVE","*","0","0","2011-09-23T00:00:00.000","RIMBORSO SPESE VIAGGIO LINEE EXTRAURBANE CON INDENNITA'","Y","N","Y","N","N","EURO","999999999.00","0.00","2100-12-31T00:00:00.000","NULL","2011-09-23T15:03:54.000","CED","2011-09-23T15:03:54.000","CED","2","Y"
