"altra_ass_previd_inps","ds_altra_ass_previd_inps","fl_cancellato","dacr","utcr","duva","utuv","pg_ver_rec"
"302","RAGIONIERI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"303","INGEGNERI E ARCHITETTI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"304","GEOMETRI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"305","AVVOCATI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"306","CONSULENTI DEL LAVORO","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"307","NOTAI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"308","MEDICI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"309","FARMACISTI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"310","VETERINARI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"311","CHIMICI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"312","AGRONOMI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"313","GEOLOGI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"314","ATTUARI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"315","INFERMIERI PROFESSIONALI, ASSISTENTI SANITARI, VIGILATRICI D'INFANZIA","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"316","PSICOLOGI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"317","BIOLOGI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"318","PERITI INDUSTRIALI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"319","AGROTECNICI, PERITI AGRARI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"320","GIORNALISTI","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
"321","SPEDIZIONIERI (SINO AL 31-12-1997)","N","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:37.000","$$$$$MIGRAZIONE$$$$$","1"
