"cd_ruolo","ds_ruolo","duva","utuv","dacr","utcr","pg_ver_rec","cd_cds","tipo"
"SACVARRES","Accessi per la gestione delle variazioni allo stanziamento residuo","2014-12-03T14:55:46.000","CDS000","2011-06-15T16:48:45.000","CDS000","3","000","NULL"
"PDGPV","Ruolo per utenze PDGPxxxV di validazione","2005-10-27T11:00:46.000","CNRTUTTO","2005-10-27T11:00:46.000","CNRTUTTO","1","000","DIRIST"
"REVISORI","Ruolo di visualizzazione per revisori dei conti","2006-09-08T16:26:11.000","CNRTUTTO","2005-11-07T10:20:45.000","CNRTUTTO","13","000","NULL"
"SIOPE","abilitato alla classificazione ISTAT","2007-06-08T11:14:33.000","CDSBIL","2007-05-17T11:53:43.000","CDSBIL","2","000","ISTSIO"
"RAGIONERIA","accessi per Ragioneria","2015-04-21T11:49:39.000","CNRTUTTO","2002-02-04T17:16:49.000","CNRTUTTO","22","000","DIRIST"
"VISUALIZZA","Visualizzazione di tutta l'applicazione","2016-05-24T16:58:12.000","CNRTUTTO","2002-02-12T18:18:01.000","CNRTUTTO","34","NULL","NULL"
"VISPREVENT","Visualizzazione PdG e Bilancio Preventivo","2004-06-24T15:04:02.000","CNRTUTTO","2002-11-25T14:29:19.000","CNRTUTTO","4","NULL","NULL"
"UTENTESAC","acessi per uffici SAC ","2010-10-04T10:42:28.000","CDSRAG","2002-11-26T10:57:08.000","CNRTUTTO","43","000","DIRIST"
"VISLDAOBBL","Visualizzazione linee attivita e obbligazioni  ( ruolo per ricercatore )","2003-06-11T11:03:15.000","CNRTUTTO","2002-11-26T14:42:03.000","CNRTUTTO","5","NULL","NULL"
"PREVENTIVO","Compilazione preventivo","2004-06-24T15:04:30.000","CNRTUTTO","2002-11-26T14:54:32.000","CNRTUTTO","6","NULL","NULL"
"ENTRATE","Gestione Entrate","2003-06-30T18:12:56.000","CNRTUTTO","2002-11-27T10:24:02.000","CNRTUTTO","11","NULL","N"
"SPESA","Gestione Spesa","2004-10-13T13:39:26.000","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","10","NULL","NULL"
"CASSIERE","Interfaccia con BNL + Sospesi ENTRATA CNR","2004-02-20T11:05:29.000","CNRTUTTO","2002-11-27T12:27:22.000","CNRTUTTO","9","NULL","N"
"IVA","Gestione IVA","2002-11-27T15:06:44.000","CNRTUTTO","2002-11-27T12:33:24.000","CNRTUTTO","3","NULL","NULL"
"ECONOMO","Gestione fondo economale","2012-09-28T11:39:00.000","CNRTUTTO","2002-11-27T14:42:23.000","CNRTUTTO","18","NULL","NULL"
"INVENTARIO","Gestione Inventario","2010-03-26T16:13:39.000","CNRTUTTO","2002-11-27T14:47:28.000","CNRTUTTO","10","NULL","NULL"
"COMPENSI","Gestione compensi e minicarriere","2004-10-13T13:41:19.000","CNRTUTTO","2002-11-27T15:01:00.000","CNRTUTTO","7","NULL","NULL"
"MISSIONI","Gestione delle missioni","2003-06-11T11:10:37.000","CNRTUTTO","2002-11-27T15:14:37.000","CNRTUTTO","8","NULL","NULL"
"OBBLIGAZIO","Gestione delle obbligazioni","2004-10-13T13:45:06.000","CNRTUTTO","2002-11-27T15:19:35.000","CNRTUTTO","7","NULL","NULL"
"01","sede","2003-10-27T14:31:10.000","CDS002","2002-12-12T11:19:45.000","CDS002","2","NULL","NULL"
"TRIMCASSAR","ruolo x trimestrale cassa per tutta la SAC","2004-07-08T11:42:46.000","CNRTUTTO","2003-06-30T14:44:10.000","CNRTUTTO","4","000","NULL"
"BRANCASI","tutti gli accessi per utenze su istituti da usare in sede centrale","2016-12-20T12:05:48.000","CNRTUTTO","2003-06-10T12:26:38.000","CNRTUTTO","82","000","TUTTO"
"SPP","ruolo per servizio prevenzione e protezione","2014-03-07T09:00:17.000","CDS000","2003-02-24T10:50:14.000","CNRTUTTO","7","000","NULL"
"RAGENTE","tutti gli accessi su 999","2008-12-17T16:21:39.000","CNRTUTTO","2003-04-28T16:43:06.000","CNRTUTTO","28","000","NULL"
"02","0000","2003-10-27T14:34:28.000","CDS002","2003-10-27T14:34:28.000","CDS002","1","NULL","NULL"
"INCARICHI","Accessi per incarichi compresa pubblicazione","2013-01-21T13:04:54.000","CNRTUTTO","2007-11-19T17:30:53.000","CNRTUTTO","2","NULL","DIRIST"
"PDGPH","Ruolo per utenze PDGPxxxH di visualizzazione","2005-10-27T10:59:51.000","CNRTUTTO","2005-10-27T10:59:51.000","CNRTUTTO","1","000","NULL"
"SOSP","Abilitato Sospensione Cori","2009-05-06T14:44:48.000","CED","2009-05-06T14:44:48.000","CED","1","000","SOSP"
"TATASAC","tutti accessi sac","2010-09-21T12:33:10.000","CDSRAG","2005-03-15T10:20:57.000","CNRTUTTO","19","000","DIRIST"
"VARIAZIONI","ruolo per variazioni pdg e bilancio su 9999","2005-10-14T09:40:38.000","CNRTUTTO","2005-10-14T09:40:38.000","CNRTUTTO","1","000","NULL"
"TARDIOLA","Gestione CORI","2008-01-04T10:08:59.000","CNRTUTTO","2005-11-03T09:58:56.000","CNRTUTTO","3","000","NULL"
"FISCOIVA","Ufficio Fiscale SAC : CINTI PETITTA ROSI SAPORITI ","2006-10-13T11:58:09.000","CDS000","2006-10-12T15:05:25.000","CDS000","13","000","INVUFF"
"INVENTSAC","Inventario per SAC","2009-03-05T09:46:56.000","CDS000","2009-03-04T11:26:18.000","CDS000","6","000","NULL"
"SUPERINCAR","Ruolo per abilitazione a tutte le funzioni degli incarichi (superutente)","2014-09-09T11:03:00.000","CNRTUTTO","2009-12-16T17:30:53.000","CNRTUTTO","11","000","SUPINC"
"ADDIZIONAL","Gestione addizionali comunali","2009-05-20T17:54:06.000","CDSRAG","2009-05-20T17:12:24.000","CDSRAG","5","000","NULL"
"BLT_ACCOR","Ruolo per la gestione degli Accordi Bilaterali","2012-07-20T17:02:30.000","CDS000","2012-07-20T17:02:30.000","CDS000","1","000","NULL"
"SACVARPLUS2","Accessi per le variazioni + indice ipa","2015-02-20T10:46:54.000","CDS000","2015-02-20T10:47:00.000","CDS000","1","000","DIRIS2"
"VISUALIPDG","Visualizzazione PDG","2016-02-02T13:16:40.000","CDS000","2015-10-30T09:04:05.000","CDS000","4","NULL","VTUTTO"
"SACVARVISU","Visualizzazione Variazioni","2016-09-23T15:36:14.000","CDS000","2016-09-23T15:34:50.000","CDS000","2","000","NULL"
"ISS","Funzioni ISS","2017-11-17T10:48:49.000","ISSTUTTO","2017-05-18T12:18:29.000","CNRTUTTO","70","000","TUTTO"
