"cd_centro_responsabilita","cd_unita_organizzativa","ds_cdr","livello","cd_proprio_cdr","cd_responsabile","indirizzo","dacr","utcr","duva","utuv","pg_ver_rec","cd_cdr_afferenza","esercizio_fine","esercizio_inizio"
"000.009.000","000.009","NEURO - Dipartimento neuroscienze","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.010.000","000.010","OMM - Dipartimento oncologia e medicina molecolare","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.011.000","000.011","SANS - Dipartimento sicurezza alimentare, nutrizione e sanitא pubblica veterinaria","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.012.000","000.012","BIOL - Servizio tecnico scientifico biologico","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.013.000","000.013","CORI - Servizio tecnico scientifico di coordinamento e supporto alla ricerca","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.014.000","000.014","FAST - Servizio tecnico scientifico grandi strumentazioni e core facilities","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.015.000","000.015","GOTT - Servizio tecnico scientifico grant office e trasferimento tecnologico","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2018-01-17T11:45:05.000","ISSTUTTO","1","000.000.000","2100","2017"
"000.016.000","000.016","STAT - Servizio tecnico scientifico di statistica","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.017.000","000.017","ON0373 - Organismo notificato","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.018.000","000.018","MEGE - Centro di riferimento medicina di genere","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.019.000","000.019","SCIC - Centro di riferimento scienze comportamentali e salute mentale","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.020.000","000.020","COFAR - Centro nazionale controllo e valutazione farmaci","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"999.000.000","999.000","ENTE","1","000","1","NULL","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","NULL","2100","2017"
"000.023.000","000.023","HTA - Centro nazionale health technology assessment","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.024.000","000.024","RARE - Centro nazionale malattie rare","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.025.000","000.025","CNAPS - Centro nazionale prevenzione delle malattie e promozione della salute","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.026.000","000.026","PRORA - Centro nazionale protezione dalle radiazioni e fisica computazionale","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.027.000","000.027","FARVA - Centro nazionale ricerca e valutazione preclinica e clinica dei farmaci","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.028.000","000.028","AIDS - Centro nazionale ricerca su hiv/aids","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.029.000","000.029","GLOB - Centro nazionale salute globale","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.030.000","000.030","CHIM - Centro nazionale sostanze chimiche, prodotti cosmetici e protezione consumatore","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.031.000","000.031","BENA - Centro nazionale sperimentazione e benessere animale","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.032.000","000.032","TISP - Centro nazionale tecnologie innovative in sanitא pubblica","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.033.000","000.033","TETA - Centro nazionale telemedicina e nuove tecnologie assistenziali","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.021.000","000.021","DIDOP - Centro nazionale dipendenze e doping","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.022.000","000.022","CNEC - Centro nazionale eccellenza clinica, qualitא e sicurezza delle cure","2","000","1","NULL","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-11T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
