"cd_bene_servizio","ds_bene_servizio","unita_misura","fl_gestione_inventario","fl_gestione_magazzino","cd_voce_iva","cd_categoria_gruppo","dacr","utcr","duva","utuv","pg_ver_rec","ti_bene_servizio","fl_obb_intrastat_acq","fl_obb_intrastat_ven","fl_valido","fl_autofattura","fl_bollo","fl_scadenza","tipo_servizio","tipo_manutenzione","note","tipo_gestione","sconti_applic_invent","cd_gruppo_merceologico","cd_tipo_articolo"
"AA00952","VASI PER CAMP.TI IN VETRO C/TAPPO MET. CAP.250 ML.","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T12:14:30.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00953","VASI PER CAMP.TI IN VETRO C/TAPPO MET. CAP. 500 ML","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T12:15:59.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00954","VASI PER CAMP.TI IN VETRO CAP. 1000 ML DIAM. BOCCA90 MM - C/TAPPO METALLICO E SOTTOTAPPO","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T12:20:10.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00955","SESSOLE IN ACCIAIO DA 1000 ML - C/MANICO TONDOLUNGHEZZA 390 MM","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2006-02-10T12:05:33.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00956","SESSOLE IN ACCIAIO C/MANICO TONDO DA 500 MLLUNGHEZZA 340-350 MM","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2006-02-10T12:06:12.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00957","BECCHI BUNSEN MULTIGAS RUB.VITE, REG. D'ARIA STAB.FIAMMA, BLOCC. AUT. GAS E BASE, DIAM 11X150 (HTOT)","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2014-02-10T12:22:29.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00958","BOTTIGLIONI PER ALIM. IN POLIPROP. CAP. L. 10CON MANIGLIA E RUBINETTO","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T12:44:18.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00959","BOTTIGLIONI IN POLIPROP. CAP. L. 25 PER ALIMENTICON MANIGLIA E RUBINETTO","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2009-08-18T12:29:57.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"041510","CAPSULE PORCELLANA DIAM. MM 160 C/BORDO SEMISFER.BECCO TRAVASO, SMALT. COMPL. - ELEV. RESIST.TERMIC","N","N","Y","22","7.5","2017-05-19T09:52:42.000","MIGRAZIONE","2009-08-10T15:02:11.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"AA00960","CARTA FILTRO DISCHI DIAM. CM 30 (CONF.100 PZ)\"PERFECTE\" EXTRA RAPIDA O EQUIVALENTE","SC","N","Y","22","7.3","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T13:00:30.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00961","CUCCHIAI OSSO - LUNGHEZZA CM 16","N","N","Y","22","7.2","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T13:09:39.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"044010","GARZA STER. IN COMPRESSE CM 15X15 - CONF.1 SCATOLA(1 SCAT. = 100 CONF. DA 25 GARZE)","N","N","Y","10","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2010-06-10T10:48:49.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"AA00962","GUANTI LAVA VETR. N. 7,5-8 \"ANSELL EDMOND LATEX\"O EQUIVALENTI","N","N","Y","22","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T13:14:47.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00963","PINZE DRITTE ACCIAIO- LUNGH. MM 145, PUNTE ARROT.DENTELL.INT. ZIGRINAT. - ESTERNA ANTISCIVOLO","N","N","Y","22","8.2","2017-05-19T09:52:42.000","MIGRAZIONE","2008-03-19T10:41:51.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00964","PELL. ALL. SPESS. 11 ?M -ROT.LUNGH. 100 MT X 30 CMPER STERILIZZAZIONE E PROTEZIONE","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2011-02-22T10:54:50.000","MARRA","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00982","AUDIO CONFERENZA","N","N","Y","22","0.0","2017-05-19T09:52:42.000","MIGRAZIONE","2006-02-03T10:19:56.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA01338","ALPHA32PDCTP 3000CI/MMOL  110TBQ/MMOLSOL. ACQUOSA CONF. 250 MICROCI","UCI","N","Y","22","9.10","2017-05-19T09:52:42.000","MIGRAZIONE","2008-10-03T10:56:45.000","GIUDICEP","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA01339","ALPHA32P UTP 3000CI/MMOL 110TBQ/MMOLSOL. ACQUOSA CONF. 250 MICROCI","UCI","N","Y","22","9.10","2017-05-19T09:52:42.000","MIGRAZIONE","2008-10-03T10:58:07.000","GIUDICEP","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA01340","METILTIMIDINA-3H 5CI/MMOL SOL. ACQUOSA STERILE(5ML) CONF. 185 MBQ","MBQ","N","Y","22","9.10","2017-05-19T09:52:42.000","MIGRAZIONE","2008-10-03T10:58:51.000","GIUDICEP","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA01341","L-METIONINA-[35S] PER MARCATURE METABOLICHE INVIVO (1000CI)/MMOL AQUEOUS SOLUTION  CONF. 6-8 MCI","MCI","N","Y","22","9.10","2017-05-19T09:52:42.000","MIGRAZIONE","2008-10-03T11:00:58.000","GIUDICEP","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA01342","GAMMA-(32P)-ATP 5000CI/IMMOL 10MCI/MLSOL. ACQUOSA CONF. 250 MICROLT","MLT","N","Y","22","9.10","2017-05-19T09:52:42.000","MIGRAZIONE","2008-10-03T10:59:47.000","GIUDICEP","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"159904","ROTOLI CARTA PER CALCOLATRICE MM.57/58","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T13:03:36.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"153865","VASCHETTE PORTADOCUMENTI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:53.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"154155","NASTRO BIADESIVO TNT 15MMX50 MT","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:53.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"153486","RACCOGLITORI A TERZETTO 4 ANELLI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:53.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"153003","SQUADRE","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"153102","SEGNAPAGINE","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2007-03-15T10:15:53.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","N","NULL","TRA","N","NULL","NULL"
"153340","INCHIOSTRO PER TIMBRI IN GOMMA BLU / NERO","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T11:21:43.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152750","PORTALISTINI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"151411","CLIPS  GRANDI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T12:17:48.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"152221","PENNARELLI VETROGRAFICI VARI COLORI","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-22T11:32:00.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"110100","TUBO DI VETRO PYREX","KG","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"111000","COLTELLO TAGLIAVETRO IN WIDIA","N","N","Y","22","8.8","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"096550","STARTER PER LAMPADE FLUORESCENTI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"100500","MORSETTIERE PER MOTORI","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095310","PRESE VOLANTI CEE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095900","SEZIONATORI INTERRUTTORI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:52.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"095020","PORTALAMPADE X LAMPADE ALOGENE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"093100","INTERRUTTORI BIPOLARI DIN","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"093800","LAMPADINE AD INCANDESCENZA E 14","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"091600","COLLARI FISSAGGIO CANNE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"092300","DIFFERENZIALI DIN TRIPOLARI","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"090300","ACCESSORI PER TUB.NI ELET.CHE","N","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"090900","CANNE PVC GRIGIE O NERE","CM","N","Y","22","8.3","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"084270","TUBO FERRO QUADRO MM30X30X2","KG","N","Y","22","8.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:51.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"084100","SEGHETTI A 1 TAGLIO","N","N","Y","22","8.2","2017-05-19T09:52:42.000","MIGRAZIONE","2001-10-09T15:10:50.000","SYSTEM","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
