"cd_piano_gruppi","cd_gruppo_ep","cd_gruppo_padre","sequenza","nome","ds_gruppo_ep","segno","fl_mastrino","duva","utuv","dacr","utcr","pg_ver_rec","cd_piano_padre","formula"
"CE","AVA","NULL","650","NULL","Saldo reale del conto avanzo","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","B2","B","140","2","per crediti inesigibili","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","AIV","A","32","IV","Disavanzo economico dell'esercizio","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","AV","A","34","V","Disavanzo economico di esercizi precedenti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"CE","ADEE","NULL","640","NULL","Avanzo/Disavanzo economico d'esercizio (A - B + C + D)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{CE,A1}[+]{CE,A2}[+]{CE,A3}[-]{CE,B4}[-]{CE,B5}[-]{CE,B6}[-]{CE,B7a}[-]{CE,B7b}[-]{CE,B7c}[-]{CE,B7d}[-]{CE,B8a}[-]{CE,B8b}[-]{CE,B8c}[-]{CE,B8d}[-]{CE,B8e}[-]{CE,B8f}[-]{CE,B9}[-]{CE,B10}[-]{CE,B11}[-]{CE,B12}[-]{CE,B13}[+]{CE,C15}[-]{CE,C14}[+]{CE,D16}[-]{CE,D17}[+]{CE,D18}[+]{CE,D19}[-]{CE,D20}[-]{CE,D21}"
"SPPAS","TG","NULL","405","NULL","Totale Conti d'ordine (G)","+","N","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","NULL","[+]{SPPAS,G1}[+]{SPPAS,G2}"
"SPPAS","G","NULL","401","G","CONTI D'ORDINE","+","N","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","NULL","NULL"
"SPATT","TF","NULL","605","NULL","Totale Conti d'ordine (F)","+","N","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","NULL","[+]{SPATT,F1}[+]{SPATT,F2}"
"SPPAS","G1","G","402","1","Fidejussioni ed assicurazioni","+","Y","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","SPPAS","NULL"
"SPPAS","G2","G","403","2","Altri conti d'ordine","+","Y","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","SPPAS","NULL"
"SPATT","F1","F","602","1","Fidejussioni ed assicurazioni","+","Y","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","SPATT","NULL"
"SPATT","F2","F","603","2","Altri conti d'ordine","+","Y","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","SPATT","NULL"
"SPATT","F","NULL","601","F","CONTI D'ORDINE","+","N","2012-05-14T00:00:00.000","CED_RP","2012-05-14T00:00:00.000","CED_RP","1","NULL","NULL"
"CE","A","NULL","10","A)","PROVENTI DELLA GESTIONE","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"CE","A1","A","20","1)","Entrate derivanti da trasferimenti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","A2","A","30","2)","Entrate derivanti dalla vendita di prodotti e servizi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","A3","A","40","3)","Entrate diverse","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","TPG","NULL","60","NULL","Totale Proventi della Gestione (A)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{CE,A1}[+]{CE,A2}[+]{CE,A3}"
"CE","B","NULL","70","B)","COSTI DELLA GESTIONE","-","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"CE","B4","B","80","4)","per materie prime, sussidiarie, di consumi e merci","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B5","B","90","5)","per servizi","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B6","B","100","6)","per godimento beni di terzi","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B7","B","110","7)","per il personale:","-","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B7a","B7","120","a)","Salari e Stipendi","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B7b","B7","130","b)","Oneri Sociali","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B7c","B7","140","c)","Quota dell'esercizio per l'adeguamento del fondo di trattamento di fine rapporto","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B7d","B7","150","d)","Altri costi","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B8","B","170","8)","Ammortamenti:","-","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B8a","B8","180","a)","Ammortamento terreni e fabbricati","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B8b","B8","190","b)","Ammortamento macchine e strumenti scientifici","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B8c","B8","200","c)","Ammortamento mobili e arredi","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B8d","B8","210","d)","Ammortamento automezzi","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B9","B","220","9)","Oneri tributari","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B10","B","230","10)","Variazioni delle rimanenze di materie prime, sussidiarie, di consumo e merci","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B11","B","240","11)","Quota dell'esercizio per l'adeguamento del fondo rischi indennit? di anzianit? del personale INPS","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","B12","B","250","12)","Quota dell'esercizio per rischio crediti inesigibili","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","TCG","NULL","260","NULL","Totale Costi della Gestione (B)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{CE,B4}[+]{CE,B5}[+]{CE,B6}[+]{CE,B7a}[+]{CE,B7b}[+]{CE,B7c}[+]{CE,B7d}[+]{CE,B8a}[+]{CE,B8b}[+]{CE,B8c}[+]{CE,B8d}[+]{CE,B8e}[+]{CE,B8f}[+]{CE,B9}[+]{CE,B10}[+]{CE,B11}[+]{CE,B12}[+]{CE,B13}"
"CE","A-B","NULL","270","NULL","DIFFERENZA TRA PROVENTI E COSTI DELLA GESTIONE (A - B)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{CE,A1}[+]{CE,A2}[+]{CE,A3}[-]{CE,B4}[-]{CE,B5}[-]{CE,B6}[-]{CE,B7a}[-]{CE,B7b}[-]{CE,B7c}[-]{CE,B7d}[-]{CE,B8a}[-]{CE,B8b}[-]{CE,B8c}[-]{CE,B8d}[-]{CE,B8e}[-]{CE,B8f}[-]{CE,B9}[-]{CE,B10}[-]{CE,B11}[-]{CE,B12}[-]{CE,B13}"
"CE","C","NULL","280","C)","PROVENTI E ONERI FINANZIARI","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"CE","C14","C","290","14)","Interessi ed altri oneri finanziari","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","C15","C","300","15)","Altri proventi finanziari","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","TPOF","NULL","360","NULL","Totale proventi ed oneri finanziari (C)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{CE,C15}[-]{CE,C14}"
"CE","D","NULL","370","D)","PROVENTI E ONERI STRAORDINARI","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"CE","D16","D","380","16)","Proventi straordinari","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","D17","D","420","17)","Oneri straordinari con separata indicazione delle imposte relative ad esercizi precedenti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","D18","D","460","18)","Sopravvenienze attive ed insussistenze di passivo","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","D19","D","470","19)","Plusvalenze da alienazioni","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","D20","D","480","20)","Sopravvenienze passive ed insussistenze di attivo","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","D21","D","530","21)","Minusvalenze da alienazioni","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"CE","TPOS","NULL","630","NULL","Totale delle partite straordinarie (D)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{CE,D16}[-]{CE,D17}[+]{CE,D18}[+]{CE,D19}[-]{CE,D20}[-]{CE,D21}"
"SPATT","AI3","AI","65","3","Opere dell'ingegno","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","A","NULL","20","A","IMMOBILIZZAZIONI","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"CE","B8f","B8","215","f)","Ammortamento Opere dell'ingegno (Software)","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"SPATT","AI1","AI","60","1","Brevetti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AIII2c","AIII2","275","c","Prestiti ai dipendenti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","TAI","NULL","110","NULL","Totale A I)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,AI1}[+]{SPATT,AI2}[+]{SPATT,AI3}"
"SPATT","AII","A","120","II","Materiali","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AII1","AII","130","1","Terreni e fabbricati","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AII2","AII","140","2","Mobili e arredi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AII3","AII","150","3","Macchine e strumenti scientifici","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AII4","AII","160","4","Libri","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AII5","AII","170","5","Automezzi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","TAII","NULL","180","NULL","Totale A II)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,AII1}[+]{SPATT,AII2}[+]{SPATT,AII3}[+]{SPATT,AII4}[+]{SPATT,AII5}[+]{SPATT,AII6}[+]{SPATT,AII7}"
"SPATT","AIII","A","190","III","Finanziarie","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AIII1","AIII","200","1","Partecipazioni in:","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AIII1a","AIII1","210","a","Consorzi e societ?","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AIII2","AIII","250","2","Crediti (a lungo termine)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AIII2a","AIII2","260","a","Depositi cauzionali","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AIII2b","AIII2","270","b","Buoni Postali Fruttiferi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","B","NULL","310","B","ATTIVO CIRCOLANTE","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPATT","BI","B","320","I","Rimanenze","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","BI1","BI","330","1","Materie prime, sussidiarie e di consumo","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","TBI","NULL","340","NULL","Totale B I)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,BI1}"
"SPATT","BII","B","350","II","Residui attivi","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","BII1","BII","360","1","Crediti (residui attivi):","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","TBII","NULL","410","NULL","Totale B II)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,BII1}"
"SPATT","BIII","B","420","III","Disponibilit? Liquide","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","BIII1","BIII","430","1","Cassa","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","BIII2","BIII","440","2","Fondi Economali","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","TBIII","NULL","480","NULL","Totale B III)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,BIII1}[+]{SPATT,BIII2}"
"SPATT","C","NULL","540","C","RATEI E RISCONTI","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPATT","C1","C","550","1","Ratei attivi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","C2","C","560","2","Risconti attivi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPPAS","A","NULL","10","A","PATRIMONIO NETTO","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","AI","A","20","I","Patrimonio iniziale","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","AIII","A","30","III","Avanzo economico d'esercizio","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","TA","NULL","110","NULL","Totale Patrimonio Netto (A)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPPAS,AI}[+]{SPPAS,AII}[+]{SPPAS,AIII}[-]{SPPAS,AIV}[-]{SPPAS,AV}"
"SPPAS","B","NULL","120","B","FONDI PER RISCHI ED ONERI","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","B1","B","130","1","per indennit? anzianit? personale INPS","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","B3","B","150","3","per imposte","+","Y","2006-07-13T00:00:00.000","CED_PR","2006-07-13T00:00:00.000","CED_PR","1","SPPAS","NULL"
"SPPAS","TB","NULL","160","NULL","Totale Fondi per Rischi ed oneri (B)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPPAS,B1}[+]{SPPAS,B2}"
"SPPAS","C","NULL","170","C","TRATTAMENTO DI FINE RAPPORTO  DI LAVORO SUBORDINATO","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","D","NULL","180","D","DEBITI","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","D1","D","190","1","Mutui in ammortamento","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","D2","D","200","2","Debiti di funzionamento","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","D3","D","210","3","Debiti per depositi ricevuti in cauzione","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","TD","NULL","360","NULL","Totale Debiti (D)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPPAS,D1}[+]{SPPAS,D2}[+]{SPPAS,D3}"
"SPPAS","E","NULL","370","E","RATEI E RISCONTI","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","E1","E","380","1","Ratei passivi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","E2","E","390","2","Risconti passivi","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPPAS","TP","NULL","400","NULL","Totale passivo e netto","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPPAS,AI}[+]{SPPAS,AII}[+]{SPPAS,AIII}[-]{SPPAS,AIV}[-]{SPPAS,AV}[+]{SPPAS,B1}[+]{SPPAS,B2}[+]{SPPAS,C}[+]{SPPAS,D1}[+]{SPPAS,D2}[+]{SPPAS,D3}[+]{SPPAS,E1}[+]{SPPAS,E2}"
"SPATT","TAIII","NULL","290","NULL","Totale A III)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,AIII1a}[+]{SPATT,AIII2a}[+]{SPATT,AIII2b}[+]{SPATT,AIII2c}"
"SPATT","TB","NULL","530","NULL","Totale attivo circolante (B)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,BI1}[+]{SPATT,BII1}[+]{SPATT,BIII1}[+]{SPATT,BIII2}"
"SPPAS","TE","NULL","395","NULL","Totale Ratei e Risconti (E)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPPAS,E1}[+]{SPPAS,E2}"
"SPATT","TA","NULL","300","NULL","Totale Immobilizzazioni (A)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,AI1}[+]{SPATT,AI2}[+]{SPATT,AI3}[+]{SPATT,AII1}[+]{SPATT,AII2}[+]{SPATT,AII3}[+]{SPATT,AII4}[+]{SPATT,AII5}[+]{SPATT,AII6}[+]{SPATT,AII7}[+]{SPATT,AIII1a}[+]{SPATT,AIII2a}[+]{SPATT,AIII2b}[+]{SPATT,AIII2c}"
"SPATT","TA","NULL","600","NULL","Totale attivo","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,AI1}[+]{SPATT,AI2}[+]{SPATT,AI3}[+]{SPATT,AII1}[+]{SPATT,AII2}[+]{SPATT,AII3}[+]{SPATT,AII4}[+]{SPATT,AII5}[+]{SPATT,AII6}[+]{SPATT,AII7}[+]{SPATT,AIII1a}[+]{SPATT,AIII2a}[+]{SPATT,AIII2b}[+]{SPATT,AIII2c}[+]{SPATT,BI1}[+]{SPATT,BII1}[+]{SPATT,BIII1}[+]{SPATT,BIII2}[+]{SPATT,C1}[+]{SPATT,C2}"
"SPAS","TC","NULL","175","NULL","Totale TFR di lavoro subordinato","+","N","2004-06-11T00:00:00.000","CED_SF","2004-06-11T00:00:00.000","CED_SF","1","NULL","[+]{SPPAS,C}"
"CE","B8e","B8","215","e)","Ammortamento imbarcazioni e velivoli","-","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
