"cd_unita_organizzativa","ds_unita_organizzativa","cd_proprio_unita","cd_tipo_unita","fl_cds","fl_uo_cds","fl_rubrica","livello","prc_copertura_obblig_2","prc_copertura_obblig_3","cd_responsabile","cd_responsabile_amm","fl_presidente_area","dacr","utcr","duva","utuv","pg_ver_rec","cd_unita_padre","cd_area_ricerca","esercizio_fine","esercizio_inizio","cd_area_scientifica","id_funzione_pubblica"
"000.007","MACA - Dipartimento malattie cardiovascolari, dismetaboliche e dell'invecchiamento","007","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.008","DMI - Dipartimento malattie infettive","008","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.009","NEURO - Dipartimento neuroscienze","009","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.010","OMM - Dipartimento oncologia e medicina molecolare","010","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.011","SANS - Dipartimento sicurezza alimentare, nutrizione e sanitא pubblica veterinaria","011","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.012","BIOL - Servizio tecnico scientifico biologico","012","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.013","CORI - Servizio tecnico scientifico di coordinamento e supporto alla ricerca","013","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.014","FAST - Servizio tecnico scientifico grandi strumentazioni e core facilities","014","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.015","GOTT - Servizio tecnico scientifico grant office e trasferimento tecnologico","015","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.016","STAT - Servizio tecnico scientifico di statistica","016","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.017","ON0373 - Organismo notificato","017","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.018","MEGE - Centro di riferimento medicina di genere","018","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.019","SCIC - Centro di riferimento scienze comportamentali e salute mentale","019","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.020","COFAR - Centro nazionale controllo e valutazione farmaci","020","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.023","HTA - Centro nazionale health technology assessment","023","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.024","RARE - Centro nazionale malattie rare","024","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.025","CNAPS - Centro nazionale prevenzione delle malattie e promozione della salute","025","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.026","PRORA - Centro nazionale protezione dalle radiazioni e fisica computazionale","026","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.027","FARVA - Centro nazionale ricerca e valutazione preclinica e clinica dei farmaci","027","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.028","AIDS - Centro nazionale ricerca su hiv/aids","028","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.029","GLOB - Centro nazionale salute globale","029","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.030","CHIM - Centro nazionale sostanze chimiche, prodotti cosmetici e protezione consumatore","030","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.031","BENA - Centro nazionale sperimentazione e benessere animale","031","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.032","TISP - Centro nazionale tecnologie innovative in sanitא pubblica","032","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.033","TETA - Centro nazionale telemedicina e nuove tecnologie assistenziali","033","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.021","DIDOP - Centro nazionale dipendenze e doping","021","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000.022","CNEC - Centro nazionale eccellenza clinica, qualitא e sicurezza delle cure","022","SAC","N","N","Y","2","NULL","NULL","NULL","NULL","N","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
"000","DRUE - Direzione centrale risorse umane ed economiche","000","SAC","Y","N","NULL","1","NULL","NULL","NULL","NULL","NULL","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","NULL","NULL","2100","2017","NULL","NULL"
"000.000","DRUE - Direzione centrale risorse umane ed economiche","000","SAC","N","Y","Y","2","NULL","NULL","NULL","NULL","N","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-03-27T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000","NULL","2100","2017","NULL","NULL"
