"cd_voce_iva","ds_voce_iva","percentuale","dt_inizio_validita","dt_cancellazione","fl_detraibile","percentuale_detraibilita","fl_non_imponibile","fl_esente","fl_non_soggetto","fl_escluso","ti_applicazione","cd_gruppo_iva","fl_intra","fl_autofattura","fl_bolla_doganale","fl_default_istituzionale","dacr","utcr","duva","utuv","pg_ver_rec","fl_iva_non_recuperabile","natura_oper_non_imp_sdi","rif_norm_oper_non_imp_sdi","fl_solo_italia","ti_bene_servizio","fl_obb_dichiarazione_intento"
"DIR","Fci art.3, c.4 .a) DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-07-11T18:45:54.000","MADEOMT","1","N","N2","NULL","N","*","N"
"22","IVA 22%","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2013-09-26T15:10:47.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"22S","Imp.art. 7 quater Dpr 633/72","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2013-09-26T15:50:11.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"22T","Imp.art. 7 TER Dpr 633/72","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2013-09-26T15:50:46.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"INE","iva indetraibile","21.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","N","N","E","I21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-01-28T14:25:26.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"ING","iva indetraibile","22.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","N","N","E","I22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-01-28T14:25:59.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"19F","Aliquota francese al 19,60%","19.60","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","19,6","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2006-04-26T11:36:38.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"07","IVA 7%","7.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","7","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2006-11-08T00:00:00.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"20S","Imp. art. 7 quater Dpr 633/72","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-07-20T14:09:55.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21D","IVA PER CASSA 21%","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T13:02:54.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21F","IVA  21%  ACQ. EXTRA CEE","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T13:05:05.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21E","IVA AD ESIGIBILITA' DIFFERITA","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T12:52:50.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21C","IVA 21%BENI INTRACEE ATT. COMM","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T13:03:25.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21Q","Imp. art.7quinquies Dpr 633/72","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T13:05:05.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21R","IVA Repubblica San Marino","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T13:05:33.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21S","Imp. art. 7 quater Dpr 633/72","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T13:05:52.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"24","Imp. art.7quinquiesDpr 633/72","24.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","24","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-06-04T13:59:03.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21T","Imp.art. 7 TER DPR 633/72","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-10-07T13:33:09.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"FC","Fcampo IVA art.7bis DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-12-16T19:20:19.000","MADEOMT","1","N","N2","NULL","N","*","N"
"IND","iva indetraibile","20.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","N","N","E","I20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2013-08-12T16:02:48.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21U","Imp.art. 7 quinquies DPR633/72","21.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","N","N","E","21","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-06-04T13:58:15.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"20A","IVA AD ESIGIBILITA' DIFFERITA","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-06-11T10:20:54.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"20R","IVA Repubblica San Marino","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-06-11T10:23:00.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"7QG","Fci art. 7 Quater Dpr 633/72","14.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-03-23T09:43:22.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QH","Fci art. 7 Quater Dpr 633/72","0.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-03-24T13:20:52.000","MADEOMT","1","N","N2","NULL","N","*","N"
"8Q","Fci Art. 7 Quater Dpr 633/72","8.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-03-20T13:40:02.000","MADEOMT","1","N","N2","NULL","N","*","N"
"CEE","Art. 5 comma 1 D.M. 9/4/1993","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-05-16T14:09:07.000","MADEOMT","1","N","N2","NULL","N","*","N"
"22G","Art.32bis L.134/12 (Iva cassa)","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2013-12-05T13:17:37.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"22Q","Imp.art. 7quinquies Dpr 633/72","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-02-10T12:47:13.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"4C","IVA 4% beni intracee att. comm","4.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","4","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2006-02-10T12:16:03.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"E04","Fuori campo IVA art. 4 comma 4","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2008-01-18T11:06:08.000","CASTORINOM","1","N","N2","NULL","N","*","N"
"7TS","Imp.art.7 TER DPR 633/72","4.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","4","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-07-02T17:51:18.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"N68","NS art. 68 DPR 633","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","NS","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2008-02-21T09:58:01.000","FIORETTOT","1","N","N2","NULL","N","*","N"
"7Q","Imp.Art.7 Quinquies DPR 633/72","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-05-17T08:51:20.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"7TU","Imp.art 7 TER DPR 633/72","10.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","10","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-07-02T17:59:00.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"7QS","Fci art. 7 Quinquies DPR 633/7","19.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-09-29T12:45:30.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QC","Fci Art. 7 Quater Dpr 633/72","10.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-10-05T13:31:52.000","MADEOMT","1","N","N2","NULL","N","*","N"
"20Q","Imp. art.7quinquies Dpr 633/72","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-10-22T12:04:20.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"E8B","Non imp. art. 8 bis dpr 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-12-22T11:00:43.000","MADEOMT","1","N","N3","NULL","N","*","N"
"7QF","Fci art.7 Quinquies DPR 633/72","14.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2011-08-11T12:24:02.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QL","Fci Art. 7 Quinquies Dpr633/72","14.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-04-16T12:31:41.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QZ","Fci art. 7 Quinquies Dpr 633/7","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-04-16T12:38:11.000","MADEOMT","1","N","N2","NULL","N","*","N"
"21G","Art.32bis L.134/12 (Iva cassa)","21.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","21","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-08-31T09:56:00.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"21H","Art.32bis L.134/12 (Iva cassa)","10.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","10","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-08-31T09:56:42.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"E8D","Non imp.art.8 com1c) Dpr633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-12-03T14:30:42.000","MADEOMT","1","N","N3","NULL","N","*","N"
"20","IVA 20%","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2001-08-27T11:47:49.000","SYSTEM","1","N","NULL","NULL","N","*","N"
"10","IVA 10%","10.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","10","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2001-08-30T15:43:59.000","SYSTEM","1","N","NULL","NULL","N","*","N"
"20D","IVA PER CASSA 20%","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-01-21T09:38:15.000","FIORETTOT","1","N","NULL","NULL","N","*","N"
"7SP","FCI Art.7 Septies DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-03-10T11:14:03.000","CASTORINOM","1","N","N2","NULL","N","*","N"
"N41","NonImponibile Art.41 DL 331/93","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-02-22T09:31:47.000","FIORETTOT","1","N","N3","NULL","N","*","N"
"CM","Contr.Min.Esenti L. 244/2007","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","Y","N","N","E","ES","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2010-02-22T09:33:58.000","FIORETTOT","1","N","N4","NULL","N","*","N"
"CM2","Contr.Min.Esenti Art.27DL98/11","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","Y","N","N","E","ES","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-01-18T12:13:46.000","MADEOMT","1","N","N4","NULL","N","*","N"
"18Q","Fci Art. 7 Quater Dpr 633/72","18.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2012-06-19T19:22:01.000","MADEOMT","1","N","N2","NULL","N","*","N"
"26","FCI Art. 26  DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2013-02-19T12:00:32.000","MADEOMT","1","Y","N2","NULL","N","*","N"
"2","FCI art.2 comma 3 dpr 633/1972","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2013-02-19T12:49:26.000","MADEOMT","1","N","N2","NULL","N","*","N"
"RC","Art. 17 c.6 dpr 633/72","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-05-06T14:11:08.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"SPL","TEST PER SPLIT PAYMENT","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-10-12T10:24:34.000","SYSTEM","1","N","N3","NULL","N","*","N"
"09Q","Imp.art. 7 quater Dpr 633/7","9.50","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","9,5","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-12-15T15:34:08.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"CF","Reg.forfettario Art.1L208/2015","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","Y","N","N","E","ES","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2016-01-27T19:08:31.000","MADEOMT","1","N","N4","NULL","N","*","N"
"23","Imp.art 7quinquies Dpr 633/72","23.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","23","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-07-11T12:23:53.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"08Q","Imp.art.7 quinquies Dpr 633/72","8.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","N","N","E","8","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-09-15T15:57:35.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"17T","17ter DPR 633/72 Committente","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-02-18T12:41:56.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"22C","IVA 22% BENI INTRACEE ATT.COMM","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-11-16T18:28:15.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"15Q","Imp.art. 7 quater dpr 633/72","15.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","15","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-12-22T11:31:10.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"E05","FCI IVA art. 4 c. 5 DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2016-07-06T12:03:50.000","MADEOMT","1","N","N2","NULL","N","*","N"
"7QW","Fci art. 7quinquies Dpr 633/72","27.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-11-24T12:31:37.000","MADEOMT","1","N","N2","NULL","N","*","N"
"27","Imp.art. 7quinquies Dpr 633/72","27.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","27","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2014-11-24T12:34:57.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"22I","Imp.art. 7 TER Dpr 633/72","22.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","N","N","E","I22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-08-05T16:51:01.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"22A","Imp. art. 17, 2c. Dpr 633/72","22.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","22","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2016-10-25T13:57:22.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"7QA","Fci Art. 7 Quater Dpr 633/72","15.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","FC","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2016-11-18T15:15:31.000","MADEOMT","1","N","N2","NULL","N","*","N"
"10Q","Imp.art. 7quater dpr 633/72","10.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","10","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2015-05-22T13:09:51.000","MADEOMT","1","N","NULL","NULL","N","*","N"
"04","IVA 4%","4.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","4","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2001-08-30T15:44:00.000","SYSTEM","1","N","NULL","NULL","N","*","N"
"FCI","Fuori Campo IVA","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","Y","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2001-08-30T15:44:00.000","SYSTEM","1","N","N2","NULL","N","*","N"
"NIM","Non Imponibile","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-04-01T15:42:28.000","ROSATI","1","N","N3","NULL","N","*","N"
"E10","Esente art.10 dpr.633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","Y","N","N","E","ES","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-04-01T15:33:33.000","ROSATI","1","N","N4","NULL","N","*","N"
"NS","Non soggetta art. 2,3,4 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","NS","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2005-01-25T11:48:53.000","ROSATI","1","N","N2","NULL","N","*","N"
"N7","NS.art.7 DPR 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","NS","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2006-02-03T10:36:59.000","CASTORINOM","1","N","N2","NULL","N","*","N"
"19","IVA 19%","19.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","19","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2001-08-30T15:44:24.000","SYSTEM","1","N","NULL","NULL","N","*","N"
"E72","Non imponib. art.72 dpr 633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-02-24T16:13:55.000","ROSATI","1","N","N3","NULL","N","*","N"
"E14","Esente art.14 L. 537/93","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","Y","N","N","E","ES","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2002-03-11T12:19:35.000","SYSTEM","1","N","N4","NULL","N","*","N"
"E87","Non imp art 14  L.49 26/02/87","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","Y","N","N","N","E","NI","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2005-11-04T11:40:54.000","CASTORINOM","1","N","N3","NULL","N","*","N"
"E74","Non soggetta art.74 dpr 633/72","0.00","2002-01-01T00:00:00.000","NULL","N","0.00","N","N","Y","N","E","NS","Y","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-02-24T16:13:55.000","ROSATI","1","N","N2","ART.74 DPR 633/72","N","*","N"
"20E","IVA 20% ACQ. EXTRA CEE","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2002-05-07T12:48:28.000","NARDI","1","N","NULL","NULL","N","*","N"
"IST","ACQUISTO INTRA-CEE ATT. ISTIT.","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","FC","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2002-04-29T13:23:46.000","NARDI","1","N","N2","NULL","N","*","N"
"20C","IVA 20% BENI INTRACEE ATT.COMM","20.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","N","N","E","20","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2002-05-07T11:57:21.000","CONSULENTIF","1","N","NULL","NULL","N","*","N"
"E15","Non soggetta art.15 dpr.633/72","0.00","2002-01-01T00:00:00.000","NULL","Y","100.00","N","N","Y","N","E","NS","N","N","N","N","2017-05-19T09:31:19.000","MIGRAZIONE","2004-04-01T15:45:45.000","PRATESIG","1","N","N2","NULL","N","*","N"
